"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"1989 Gremlin";"whdload";"0";"3D Galax";"3DGalax";"460385";"0-9\3DGalax\3DGalax.Slave";"4096";"0-9\3DGalax";"524288";"3DGalax";"OCS/ECS";"";"";"";"";"";"3d galax";"Exact";"100";"3DGalax";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\3DGalax\igame.iff";"3dgalax"
"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool (Pictures)";"3DPool";"481908";"0-9\3DPool\3DPictures.Slave";"4096";"0-9\3DPool";"528384";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool pictures";"Exact";"100";"3DPool";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\3DPool\igame.iff";"3dpool"
"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool";"3DPool";"481908";"0-9\3DPool\3DPool.Slave";"0";"0-9\3DPool";"524288";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool";"Exact";"100";"3DPool";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\3DPool\igame.iff";"3dpool"
"NoError, EmulTrap, EmulPriv, Examine";"3D World Soccer ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"3D World Soccer";"3DWorldSoccer";"1565979";"0-9\3DWorldSoccer\3DWorldSoccer.Slave";"786432";"0-9\3DWorldSoccer";"524288";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"";"3d world soccer";"Exact";"100";"3d-world-soccer";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\3d-world-soccer\screen_002.png";"3d-world-soccer"
"NoError, EmulPriv, Examine";"3D World Tennis ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"3D World Tennis";"3DWorldTennis";"730208";"0-9\3DWorldTennis\3DWorldTennis.Slave";"786432";"0-9\3DWorldTennis";"524288";"3DWorldTennis";"OCS/ECS";"";"";"";"";"";"3d world tennis";"Exact";"100";"3d-world-tennis";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\3d-world-tennis\screen_002.png";"3d-world-tennis"
"NoError, EmulPriv, Examine";"4D Sports Boxing ? 1991 Mindscape";"1991 Distinctive/Mindscape";"whdload";"0";"4D Sports Boxing";"4DSportsBoxing";"1126562";"0-9\4DSportsBoxing\4DSportsBoxing.Slave";"786432";"0-9\4DSportsBoxing";"524288";"4DSportsBoxing";"OCS/ECS";"";"";"";"";"";"4d sports boxing";"Exact";"100";"4DSportsBoxing";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\4DSportsBoxing\igame.iff";"4dsportsboxing"
"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"1992 Distinctive/Mindscape";"whdload";"0";"4D Sports Driving";"4DSportsDriving&MstrTrcks";"1280583";"0-9\4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"786432";"0-9\4DSportsDriving&MstrTrcks";"524288";"4DSportsDriving";"OCS/ECS";"";"";"";"";"MstrTrcks";"4d sports driving";"Exact";"100";"4DSportsDriving";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\4DSportsDriving\igame.iff";"4dsportsdriving"
"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"1992 Distinctive/Mindscape";"whdload";"0";"4D Sports Driving";"4DSportsDriving";"1258913";"0-9\4DSportsDriving\4DSportsDriving.Slave";"786432";"0-9\4DSportsDriving";"524288";"4DSportsDriving";"OCS/ECS";"";"";"";"";"";"4d sports driving";"Exact";"100";"4DSportsDriving";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\4DSportsDriving\igame.iff";"4dsportsdriving"
"NoError, EmulPriv, Examine";"4th & Inches ? 1988 Accolade.";"1988 Accolade";"whdload";"0";"4th & Inches";"4th&Inches";"251010";"0-9\4th&Inches\4th&Inches.slave";"262144";"0-9\4th&Inches";"524288";"4th&Inches";"OCS/ECS";"";"";"";"";"";"4 th inches";"Exact";"100";"4th-inches";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Custom\4th-inches\screen_001.png";"4th-inches"
"EmulPriv, ClearMem, Examine";"";"1989 Epyx / U.S. Gold";"whdload";"0";"4x4 Off Road Racing";"4x4OffRoadRacing";"734821";"0-9\4x4OffRoadRacing\4x4OffRoadRacing.Slave";"262144";"0-9\4x4OffRoadRacing";"524288";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"";"";"4 off road racing";"Exact";"100";"4x4OffRoadRacing";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\4x4OffRoadRacing\igame.iff";"4x4offroadracing"
"NoError, EmulTrap";"5th Gear (c) 1988 Hewson - 1 disk.";"1988 Hewson";"whdload";"0";"5th Gear";"5thGear";"925429";"0-9\5thGear\5thGear.Slave";"0";"0-9\5thGear";"524288";"5thGear";"OCS/ECS";"";"";"";"";"";"5 th gear";"Exact";"100";"5thGear";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\5thGear\igame.iff";"5thgear"
"NoError, EmulPriv, Examine";"688 Attack Sub ? 1990 Electronic Arts";"1990 Electronic Arts";"whdload";"0";"688 Attack Sub";"688AttackSub";"820377";"0-9\688AttackSub\688AttackSub.slave";"393216";"0-9\688AttackSub";"524288";"688AttackSub";"OCS/ECS";"";"";"";"";"";"688 attack sub";"Exact";"100";"688AttackSub";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\688AttackSub\igame.iff";"688attacksub"
"NoError, ClearMem";"7 Colors ? 1991 Infogrames";"1991 Infogrames";"whdload";"0";"7 Colors";"7Colors";"835860";"0-9\7Colors\7Colors.Slave";"4096";"0-9\7Colors";"458752";"7Colors";"OCS/ECS";"";"";"";"";"";"7 colors";"Exact";"100";"7Colors";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\7Colors\igame.iff";"7colors"
"NoError, EmulTrap, ClearMem";"9 Lives (c) 1990 ARC - 1 disk.";"1990 ARC";"whdload";"0";"9 Lives";"9Lives";"577648";"0-9\9Lives\9Lives.Slave";"0";"0-9\9Lives";"524288";"9Lives";"OCS/ECS";"";"";"";"";"";"9 lives";"Exact";"100";"9Lives";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\9Lives\igame.iff";"9lives"
"NoError, EmulPriv, Examine";"A10 Tank Killer ? 1989-1991 Dynamix.";"1989-1991 Dynamix";"whdload";"0";"A-10 Tank Killer";"A10TankKiller2Disk";"1341340";"A\A10TankKiller2Disk\A10TankKiller2Disk.Slave";"786432";"A\A10TankKiller2Disk";"524288";"A10TankKiller";"OCS/ECS";"";"";"";"2Disk";"";"10 tank killer";"Exact";"100";"A10TankKiller2Disk";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\A10TankKiller2Disk\igame.iff";"a10tankkiller2disk"
"NoError, EmulPriv, Examine";"A10 Tank Killer ? 1989-1991 Dynamix.";"1989-1991 Dynamix";"whdload";"0";"A-10 Tank Killer";"A10TankKiller3Disk";"2341564";"A\A10TankKiller3Disk\A10TankKiller3Disk.Slave";"786432";"A\A10TankKiller3Disk";"524288";"A10TankKiller";"OCS/ECS";"";"";"";"3Disk";"";"10 tank killer";"Exact";"100";"a-10-tank-killer";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\a\a-10-tank-killer\screen_002.png";"a-10-tank-killer"
"NoError, EmulTrap";"Arcadia Systems version of Aaargh! game";"1987 Arcadia Systems";"whdload";"0";"Aaargh! (Arcadia)";"Aaargh!Arcadia";"1588203";"A\Aaargh!Arcadia\Aaargh!Arcadia.Slave";"1589248";"A\Aaargh!Arcadia";"524288";"Aaargh!Arcadia";"OCS/ECS";"";"";"";"";"";"aaargh arcadia";"Best";"1.927419";"Aaargh!";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\GameBase Amiga v2.0 Screenshots\A\Aaargh!_2.png";"aaargh"
"NoError, EmulTrap, NoDivZero, ClearMem";"Aaargh! ? 1987 Arcadia Systems.";"1987 Arcadia systems";"whdload";"0";"Aaargh!";"Aaargh";"844595";"A\Aaargh\Aaargh.Slave";"524288";"A\Aaargh";"524288";"Aaargh";"OCS/ECS";"";"";"";"";"";"aaargh";"Exact";"100";"Aaargh";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\Aaargh\igame.iff";"aaargh"
"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"whdload";"0";"";"AbandonedPlaces";"4519401";"A\AbandonedPlaces\AbandonedPlaces.slave";"";"A\AbandonedPlaces";"1040384";"AbandonedPlaces";"OCS/ECS";"";"";"";"";"";"abandoned places";"Exact";"100";"AbandonedPlaces";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AbandonedPlaces\igame.iff";"abandonedplaces"
"NoError, EmulTrap, EmulPriv, Examine";"Abandoned Places 2 ? 1993 ICE Ltd.";"1993 ICE Ltd";"whdload";"0";"Abandoned Places 2";"AbandonedPlaces2";"3339108";"A\AbandonedPlaces2\AbandonedPlaces2.Slave";"786432";"A\AbandonedPlaces2";"1044480";"AbandonedPlaces2";"OCS/ECS";"";"";"";"";"";"abandoned places 2";"Exact";"100";"AbandonedPlaces2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AbandonedPlaces2\igame.iff";"abandonedplaces2"
"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"whdload";"0";"";"AbandonedPlacesDe";"4519391";"A\AbandonedPlacesDe\AbandonedPlacesDe.slave";"";"A\AbandonedPlacesDe";"1040384";"AbandonedPlaces";"OCS/ECS";"De";"";"";"";"";"abandoned places";"Exact";"100";"AbandonedPlaces";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AbandonedPlaces\igame.iff";"abandonedplaces"
"NoError, EmulPriv, Examine";"ABC Monday Night Football ? 1991 Data East.";"1991 Data East";"whdload";"0";"ABC Monday Night Football";"ABCMondayNightFootball";"2455365";"A\ABCMondayNightFootball\ABCMondayNightFootball.slave";"786432";"A\ABCMondayNightFootball";"524288";"ABCMondayNightFootball";"OCS/ECS";"";"";"";"";"";"abcmonday night football abc monday";"Exact";"100";"abc-monday-night-football";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Custom\abc-monday-night-football\screen_001.png";"abc-monday-night-football"
"NoError, EmulPriv, Examine";"game called:";"1989 Coktel Vision";"whdload";"0";"Abra cadabra & Baba Yaga";"Abracadabra";"1178670";"A\Abracadabra\Abracadabra.Slave";"786432";"A\Abracadabra";"524288";"Abracadabra";"OCS/ECS";"";"";"";"";"";"abracadabra abra cadabra baba yaga";"Exact";"100";"Abracadabra";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\Abracadabra\igame.iff";"abracadabra"
"NoError, EmulTrap";"Academy by CRL Group/ComTek (c) 1988.";"1988 CRL";"whdload";"0";"Academy";"Academy";"356900";"A\Academy\Academy.slave";"0";"A\Academy";"524288";"Academy";"OCS/ECS";"";"";"";"";"";"academy";"Exact";"100";"academy";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\a\academy\screen_002.png";"academy"
"NoError, ClearMem";"Ace Ball ? 1995 Tim Soft";"1995 Tim Soft";"whdload";"0";"Ace Ball (ECS)";"AceBallPl";"568394";"A\AceBallPl\AceBallPl.Slave";"151552";"A\AceBallPl";"630784";"AceBall";"OCS/ECS";"Pl";"";"";"";"";"ace ball";"Exact";"100";"ace-ball";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\a\ace-ball\screen_002.png";"ace-ball"
"NoError, EmulTrap, NoDivZero";"Action Fighter ? 1989 Sega/Firebird/Kixx.";"1989 Sega/Firebird/Kixx";"whdload";"0";"Action Fighter";"ActionFighter";"360614";"A\ActionFighter\ActionFighter.slave";"0";"A\ActionFighter";"524288";"ActionFighter";"OCS/ECS";"";"";"";"";"";"action fighter";"Exact";"100";"ActionFighter";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\ActionFighter\igame.iff";"actionfighter"
"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"1992 Ocean";"whdload";"0";"Addams Family";"AddamsFamily";"932194";"A\AddamsFamily\AddamsFamily.Slave";"524288";"A\AddamsFamily";"524288";"AddamsFamily";"OCS/ECS";"";"";"";"";"";"addams family";"Exact";"100";"AddamsFamily";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AddamsFamily\igame.iff";"addamsfamily"
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Adrenalynn ? 1991 Exponentia.";"1991 Exponentia";"whdload";"0";"Adrenalynn";"Adrenalynn";"918054";"A\Adrenalynn\Adrenalynn.Slave";"0";"A\Adrenalynn";"524288";"Adrenalynn";"OCS/ECS";"";"";"";"";"";"adrenalynn";"Exact";"100";"Adrenalynn";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\Adrenalynn\igame.iff";"adrenalynn"
"NoError, EmulPriv, ClearMem, Examine";"Advanced Destroyer Simulator ? 1991 Futura.";"1991 Futura";"whdload";"0";"Advanced Destroyer Simulator";"AdvancedDestroyerSim";"562904";"A\AdvancedDestroyerSim\AdvancedDestroyerSim.Slave";"786432";"A\AdvancedDestroyerSim";"1048576";"AdvancedDestroyerSim";"OCS/ECS";"";"";"";"";"";"advanced destroyer sim simulator";"Exact";"100";"advanced-destroyer-simulator";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Lemon Amiga\a\advanced-destroyer-simulator\screen_009.png";"advanced-destroyer-simulator"
"NoError, EmulTrap";"Advanced Ski Simulator ? 199? Code Masters.";"";"whdload";"0";"";"AdvancedSkiSimulator";"817900";"A\AdvancedSkiSimulator\AdvancedSkiSimulator.slave";"";"A\AdvancedSkiSimulator";"524288";"AdvancedSkiSimulator";"OCS/ECS";"";"";"";"";"";"advanced ski simulator";"Exact";"100";"AdvancedSkiSimulator";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AdvancedSkiSimulator\igame.iff";"advancedskisimulator"
"NoError, Req68020";"";"1991 Infogrames";"whdload";"0";"Advantage Tennis";"AdvantageTennis";"814655";"A\AdvantageTennis\AdvantageTennis.slave";"786432";"A\AdvantageTennis";"524288";"AdvantageTennis";"OCS/ECS";"";"";"";"";"";"advantage tennis";"Exact";"100";"AdvantageTennis";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AdvantageTennis\igame.iff";"advantagetennis"
"NoError, EmulPriv, Examine";"Adventure Construction Set ? 1986 Electronic Arts";"1986 Electronic Arts";"whdload";"0";"Adventure Construction Set";"AdventureConstructionSet";"912277";"A\AdventureConstructionSet\AdventureConstructionSet.slave";"262144";"A\AdventureConstructionSet";"786432";"AdventureConstructionSet";"OCS/ECS";"";"";"";"";"";"adventure construction set";"Exact";"100";"AdventureConstructionSet";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AdventureConstructionSet\igame.iff";"adventureconstructionset"
"NoError, EmulPriv, Examine";"The Adventures of Genlock Holmes ? 1990 MicroEd, Inc.";"1990 MicroEd, Inc.";"whdload";"0";"The Adventures of Genlock Holmes";"AdventuresOfGenlockHolmes";"503629";"A\AdventuresOfGenlockHolmes\AdventuresOfGenlockHolmes.Slave";"262144";"A\AdventuresOfGenlockHolmes";"524288";"AdventuresOfGenlockHolmes";"OCS/ECS";"";"";"";"";"";"adventures of genlock holmes the";"Exact";"100";"adventures-of-genlock-holmes";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Custom\adventures-of-genlock-holmes\screen_001.png";"adventures-of-genlock-holmes"
"NoError";"Quik & Silva (c) 1991 New Bits on the Ram - 1 disk.";"1991 New Bits on the Ram";"whdload";"0";"The Adventures of Quik & Silva";"AdventuresOfQuik&Silva";"578771";"A\AdventuresOfQuik&Silva\AdventuresOfQuik&Silva.Slave";"0";"A\AdventuresOfQuik&Silva";"524288";"AdventuresOfQuik&Silva";"OCS/ECS";"";"";"";"";"";"adventures of quik silva the";"Exact";"100";"adventures-of-quik-silva-the";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Lemon Amiga\a\adventures-of-quik-silva-the\screen_006.png";"adventures-of-quik-silva-the"
"NoError, EmulTrap";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"1991 Millenium";"whdload";"0";"Adventures of Robin Hood";"AdventuresOfRobinHood";"964482";"A\AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"0";"A\AdventuresOfRobinHood";"524288";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";"";"adventures of robin hood";"Exact";"100";"AdventuresOfRobinHood";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AdventuresOfRobinHood\igame.iff";"adventuresofrobinhood"
"NoError, EmulPriv, Examine";"The Adventures Of Willy Beamish ? 1992 Dynamix";"1992 Dynamix";"whdload";"0";"The Adventures of Willy Beamish";"AdventuresOfWillyBeamish";"9878788";"A\AdventuresOfWillyBeamish\AdventuresOfWillyBeamish.slave";"1835008";"A\AdventuresOfWillyBeamish";"524288";"AdventuresOfWillyBeamish";"OCS/ECS";"";"";"";"";"";"adventures of willy beamish the";"Exact";"100";"AdventuresOfWillyBeamish";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AdventuresOfWillyBeamish\igame.iff";"adventuresofwillybeamish"
"NoError, EmulPriv, Examine";"African Raiders-01 ? 1989 Tomahawk.";"1989 Tomahawk";"whdload";"0";"African Raiders-01";"AfricanRaiders01";"421221";"A\AfricanRaiders01\AfricanRaiders01.slave";"786432";"A\AfricanRaiders01";"524288";"AfricanRaiders01";"OCS/ECS";"";"";"";"";"";"african raiders 01";"Exact";"100";"african-raiders-01";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\a\african-raiders-01\screen_002.png";"african-raiders-01"
"Disk, NoError, EmulTrap, NoDivZero";"";"1988 Sega Enterprises Ltd.";"whdload";"0";"After Burner";"AfterBurnerActivision";"1364489";"A\AfterBurnerActivision\AfterBurnerActivision.Slave";"0";"A\AfterBurnerActivision";"524288";"AfterBurnerActivision";"OCS/ECS";"";"";"";"";"";"after burner activision";"Exact";"100";"after-burner-activision";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\a\after-burner-activision\screen_002.png";"after-burner-activision"
"NoError, EmulTrap, ClearMem";"After Burner 2 ? 1989 Sega.";"1989 Sega";"whdload";"0";"After Burner 2";"AfterBurnerSega";"910179";"A\AfterBurnerSega\AfterBurnerSega.slave";"0";"A\AfterBurnerSega";"524288";"AfterBurnerSega";"OCS/ECS";"";"";"";"";"";"after burner sega 2";"Exact";"100";"AfterBurnerSega";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AfterBurnerSega\igame.iff";"afterburnersega"
"NoError, EmulTrap, NoKbd";"After The War by Dinamic (c) 1989 - 1 disk.";"1989 Dinamic";"whdload";"0";"After The War";"AfterTheWar";"913501";"A\AfterTheWar\AfterTheWar.Slave";"0";"A\AfterTheWar";"524288";"AfterTheWar";"OCS/ECS";"";"";"";"";"";"after the war";"Exact";"100";"AfterTheWar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\AfterTheWar\igame.iff";"afterthewar"
"NoError, EmulPriv, Examine";"AGE ? 1991 Coktel Vision.";"1991 Coktel Vision";"whdload";"0";"AGE ";"AGE";"1119594";"A\AGE\AGE.Slave";"262144";"A\AGE";"524288";"AGE";"OCS/ECS";"";"";"";"";"";"age";"Exact";"100";"AGE";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AGE\igame.iff";"age"
"NoError, EmulTrap, NoDivZero, ClearMem";"Agony ? 1992 Psygnosis.";"1992 Psygnosis & Art And Magic";"whdload";"0";"Agony";"Agony";"2578555";"A\Agony\Agony.Slave";"0";"A\Agony";"524288";"Agony";"OCS/ECS";"";"";"";"";"";"agony";"Exact";"100";"Agony";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\Agony\igame.iff";"agony"
"Disk, NoError, ClearMem";"Agony Demo ? 1991 Psygnosis (1 disk)";"1991 Psygnosis";"whdload";"0";"Agony Demo";"AgonyDemo";"922644";"A\AgonyDemo\AgonyDemo.slave";"4096";"A\AgonyDemo";"524288";"Agony";"OCS/ECS";"";"";"Demo";"";"";"agony";"Exact";"100";"Agony";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\a\Agony\igame.iff";"agony"
