"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, NoDivZero, ClearMem";"Agony ? 1992 Psygnosis.";"1992 Psygnosis & Art And Magic";"whdload";"0";"Agony";"Agony";"2578555";"A\Agony\Agony.Slave";"0";"A\Agony";"524288";"Agony";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Airball ? 1987-89 Microdeal.";"1987-89 Microdeal";"whdload";"0";"Airball";"Airball";"825310";"A\Airball\Airball.Slave";"0";"A\Airball";"524288";"Airball";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Airborne Ranger ? 1989 Microprose.";"1989 Microprose";"whdload";"0";"Airborne Ranger";"AirborneRanger";"762319";"A\AirborneRanger\AirborneRanger.Slave";"0";"A\AirborneRanger";"524288";"AirborneRanger";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Alcatraz ? 1992 Infogrames.";"1992 Infogrames";"whdload";"0";"Alcatraz";"Alcatraz";"1835534";"A\Alcatraz\Alcatraz.slave";"0";"A\Alcatraz";"524288";"Alcatraz";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Alchemy demo ? 1994 Psygnosis";"1994 Psygnosis";"whdload";"0";"Alchemy demo";"AlchemyDemo";"357375";"A\AlchemyDemo\AlchemyDemo.Slave";"4096";"A\AlchemyDemo";"524288";"Alchemy";"OCS/ECS";"";"";"Demo";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Alianator ? 1991 P.S.";"1991 P.S. ";"whdload";"0";"Alianator";"Alianator";"372468";"A\Alianator\Alianator.Slave";"0";"A\Alianator";"524288";"Alianator";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Alien Bash (c) 1993 Glen Cumming & Stuart Law - 1";"1993 Glen Cumming & Stuart Law";"whdload";"0";"Alien Bash";"AlienBash";"272136";"A\AlienBash\AlienBash.Slave";"4096";"A\AlienBash";"524288";"AlienBash";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Alien Legion (c) 1989 Pegasus";"1989 Pegasus";"whdload";"0";"Alien Legion";"AlienLegion";"903736";"A\AlienLegion\AlienLegion.Slave";"0";"A\AlienLegion";"524288";"AlienLegion";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Alien Storm ? 1990 Sega/US Gold";"1991 US Gold";"whdload";"0";"Alien Storm";"AlienStorm";"676748";"A\AlienStorm\AlienStorm.Slave";"0";"A\AlienStorm";"524288";"AlienStorm";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Alien World (c) 1992 PAL Developments/Hi-Tec - 1";"1992 PAL Developments/Hi-Tec";"whdload";"0";"Alien World";"AlienWorld";"1065881";"A\AlienWorld\AlienWorld.Slave";"0";"A\AlienWorld";"524288";"AlienWorld";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd, ClearMem";"Aliex ? 1990 Trojan.";"1990 Trojan";"whdload";"0";"Aliex";"Aliex";"914857";"A\Aliex\Aliex.Slave";"0";"A\Aliex";"524288";"Aliex";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Alpha-1 ? 1988 ECP";"1988 ECP";"whdload";"0";"Alpha-1";"Alpha1";"300745";"A\Alpha1\Alpha1.Slave";"4096";"A\Alpha1";"524288";"Alpha1";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Altered Beast ? 1989 Sega/Activision";"1989 Sega/Activision";"whdload";"0";"Altered Beast";"AlteredBeast";"1827795";"A\AlteredBeast\AlteredBeast.slave";"0";"A\AlteredBeast";"524288";"AlteredBeast";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Amegas (c) 1987 Guido Bartels/reLINE Software - 1";"1987 Guido Bartels/reLINE Software";"whdload";"0";"Amegas";"Amegas";"843289";"A\Amegas\Amegas.Slave";"0";"A\Amegas";"524288";"Amegas";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"American Gladiators ? 1992 GameTek.";"1992 GameTek";"whdload";"0";"American Gladiators";"AmericanGladiators";"1716915";"A\AmericanGladiators\AmericanGladiators.slave";"0";"A\AmericanGladiators";"524288";"AmericanGladiators";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"American Tag Team Wrestling by Zeppelin (c) 1992 - 1 disk.";"1992 Zeppelin";"whdload";"0";"American Tag Team Wrestling";"AmericanTagTeamWrestling";"912195";"A\AmericanTagTeamWrestling\AmericanTagTeamWrestling.Slave";"0";"A\AmericanTagTeamWrestling";"524288";"AmericanTagTeamWrestling";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Anarchy ? 1989 Psygnosis.";"1989 Psygnosis";"whdload";"0";"Anarchy";"Anarchy";"981109";"A\Anarchy\Anarchy.Slave";"0";"A\Anarchy";"524288";"Anarchy";"OCS/ECS";"";"";"";"";""
"EmulTrap";"Apache Flight by Atlantis (c) 1992 - 1 disk.";"1992 Atlantis";"whdload";"0";"Apache Flight";"ApacheFlight";"477687";"A\ApacheFlight\ApacheFlight.slave";"0";"A\ApacheFlight";"524288";"ApacheFlight";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"APB (All Points Bulletin) by Tengen (c) 1989 - 1 disk.";"1989 Tengen";"whdload";"0";"APB";"APBImage";"917256";"A\APBImage\APBImage.slave";"0";"A\APBImage";"524288";"APB";"OCS/ECS";"";"";"";"Image";""
"EmulTrap, ClearMem";"";"1992 Play Byte";"whdload";"0";"Apidya";"ApidyaAudios";"2292401";"A\ApidyaAudios\ApidyaAudios.Slave";"0";"A\ApidyaAudios";"524288";"ApidyaAudios";"OCS/ECS";"";"";"";"";""
"EmulTrap, ClearMem";"";"1992 Play Byte";"whdload";"0";"Apidya";"ApidyaKaiko";"2292400";"A\ApidyaKaiko\ApidyaKaiko.Slave";"0";"A\ApidyaKaiko";"524288";"ApidyaKaiko";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"";"1990 Rainbow Arts";"whdload";"0";"Apprentice";"Apprentice";"1019938";"A\Apprentice\Apprentice.slave";"4096";"A\Apprentice";"524288";"Apprentice";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Aquaventura by Psygnosis (c) 1992 - 2 disks.";"1992 Psygnosis";"whdload";"0";"Aquaventura";"Aquaventura";"1973124";"A\Aquaventura\Aquaventura.Slave";"0";"A\Aquaventura";"524288";"Aquaventura";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Arcade Fruit Machine by Zeppelin Games (c) 1991 - 1 disk.";"1991 Zeppelin";"whdload";"0";"Arcade Fruit Machine";"ArcadeFruitMachine";"914474";"A\ArcadeFruitMachine\ArcadeFruitMachine.Slave";"0";"A\ArcadeFruitMachine";"524288";"ArcadeFruitMachine";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Arcade Trivia Quiz by Zeppelin Games (c) 1991 - 1 disk.";"1991 Zeppelin";"whdload";"0";"Arcade Trivia Quiz";"ArcadeTriviaQuiz";"503566";"A\ArcadeTriviaQuiz\ArcadeTriviaQuiz.slave";"0";"A\ArcadeTriviaQuiz";"524288";"ArcadeTriviaQuiz";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"1992 Archer Maclean/Virgin";"whdload";"0";"Archer Maclean Pool";"ArcherMacleansBillardAmcn";"323733";"A\ArcherMacleansBillardAmcn\ArcherMacleansBillardAmcn.Slave";"0";"A\ArcherMacleansBillardAmcn";"524288";"ArcherMacleansBillardAmcn";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"1992 Archer Maclean/Virgin";"whdload";"0";"Archer Maclean Pool";"ArcherMacleansPool";"328294";"A\ArcherMacleansPool\ArcherMacleansPool.Slave";"0";"A\ArcherMacleansPool";"524288";"ArcherMacleansPool";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Archipelagos ? 1989 Astral Software.";"1989 Astral Software";"whdload";"0";"Archipelagos";"Archipelagos";"305583";"A\Archipelagos\Archipelagos.Slave";"0";"A\Archipelagos";"524288";"Archipelagos";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Arena by Psygnosis (c) 1986 - 1 disk.";"1986 Psygnosis";"whdload";"0";"Arena";"Arena";"910196";"A\Arena\Arena.slave";"0";"A\Arena";"528384";"Arena";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Arkanoid ? 1987 Discovery Software Int..";"1987 Discovery Software International";"whdload";"0";"Arkanoid";"Arkanoid";"352867";"A\Arkanoid\Arkanoid.Slave";"0";"A\Arkanoid";"524288";"Arkanoid";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"Arkanoid - Revenge of Doh ? 1988 Imagine.";"";"whdload";"0";"";"ArkanoidRevengeOfDoh";"415400";"A\ArkanoidRevengeOfDoh\ArkanoidRevengeOfDoh.slave";"";"A\ArkanoidRevengeOfDoh";"524288";"ArkanoidRevengeOfDoh";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Armageddon Man (c) 1988 Electronic Pencil Co. Ltd/";"1988 Electronic Pencil Co. Ltd/Martech";"whdload";"0";"Armageddon Man";"ArmageddonMan";"370960";"A\ArmageddonMan\ArmageddonMan.Slave";"0";"A\ArmageddonMan";"524288";"ArmageddonMan";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"1991 Thalamus";"whdload";"0";"Armalyte";"Armalyte";"1348808";"A\Armalyte\Armalyte.Slave";"0";"A\Armalyte";"524288";"Armalyte";"OCS/ECS";"";"";"";"";""
"NoError";"Army Moves by Imagine (c) 1987 - 1 disk.";"1987 Imagine/Dinamic";"whdload";"0";"Army Moves";"ArmyMoves";"130838";"A\ArmyMoves\ArmyMoves.Slave";"0";"A\ArmyMoves";"524288";"ArmyMoves";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Arnie by Zeppelin Games/Realms of Fantasy (c) 1992.";"1992 Zeppelin Games";"whdload";"0";"Arnie";"Arnie";"954327";"A\Arnie\Arnie.slave";"0";"A\Arnie";"524288";"Arnie";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Artura (c) 1988 Gremlin/Arcadia - 1 disk.";"1988 Gremlin";"whdload";"0";"Artura";"Artura";"747343";"A\Artura\Artura.Slave";"0";"A\Artura";"524288";"Artura";"OCS/ECS";"";"";"";"";""
"NoError";"Astaroth ? 1989 Hewson.";"1989 Hewson ";"whdload";"0";"Astaroth";"Astaroth";"843504";"A\Astaroth\Astaroth.Slave";"0";"A\Astaroth";"524288";"Astaroth";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd";"Astro Marine Corps by Dinamic (c) 1990 - 2 disks.";"1990 Dinamic";"whdload";"0";"Astro Marine Corps";"AstroMarineCorps";"1463004";"A\AstroMarineCorps\AstroMarineCorps.Slave";"0";"A\AstroMarineCorps";"524288";"AstroMarineCorps";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Advanced Tactical Fighter II/ATF II ? 1990 Digital Integration.";"1990 Digital Integration";"whdload";"0";"Advanted Tactical Fighter II/Atf 2";"ATF2";"1012228";"A\ATF2\ATF2.Slave";"0";"A\ATF2";"524288";"ATF2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Atomic RoboKid by Activision (c) 1990 - 2 disks.";"1990 Activision";"whdload";"0";"Atomic RoboKid";"AtomicRoboKid";"1824176";"A\AtomicRoboKid\AtomicRobokid.slave";"0";"A\AtomicRoboKid";"524288";"AtomicRoboKid";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"1991 Play Byte";"whdload";"0";"Atomino";"Atomino";"732190";"A\Atomino\Atomino.slave";"0";"A\Atomino";"524288";"Atomino";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Atomix (c) 1990 Thalion.";"1990 Tale/Thalion";"whdload";"0";"Atomix";"Atomix";"788208";"A\Atomix\atomix.slave";"0";"A\Atomix";"524288";"Atomix";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Atom Smasher ? 1992 David Papworth";"1992 David Papworth";"whdload";"0";"Atom Smasher";"AtomSmasher";"302123";"A\AtomSmasher\AtomSmasher.Slave";"4096";"A\AtomSmasher";"401408";"AtomSmasher";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Aunt Arctic Adventure by Midware Intl (c) 199?.";"199? Midware";"whdload";"0";"Aunt Arctic Adventure";"AuntArcticAdventure";"908357";"A\AuntArcticAdventure\AuntArcticAdventure.slave";"0";"A\AuntArcticAdventure";"524288";"AuntArcticAdventure";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Awesome ? 1990 Psygnosis.";"1990 Psygnosis";"whdload";"0";"Awesome";"Awesome";"2722618";"A\Awesome\Awesome.Slave";"4096";"A\Awesome";"524288";"Awesome";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Axel's Magic Hammer (c) 1989 Core Design/Gremlin - 1";"1989 Core Design/Gremlin";"whdload";"0";"Axel";"AxelsMagicHammer";"545069";"A\AxelsMagicHammer\AxelsMagicHammer.Slave";"0";"A\AxelsMagicHammer";"524288";"AxelsMagicHammer";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Baal ? 1988 Psyclapse.";"1988 Psyclapse";"whdload";"0";"Baal";"Baal";"814372";"B\Baal\Baal.Slave";"0";"B\Baal";"524288";"Baal";"OCS/ECS";"";"";"";"";""
"NoError";"Baby Jo In Going Home (c) 1991 Loriciel - 1 disk.";"1991 Loriciel";"whdload";"0";"Baby Jo In Going Home";"BabyJoInGoingHome";"919082";"B\BabyJoInGoingHome\BabyJoInGoingHome.Slave";"0";"B\BabyJoInGoingHome";"524288";"BabyJoInGoingHome";"OCS/ECS";"";"";"";"";""
"Disk, NoError, NoDivZero";"Backlash ? 1987 Novagen.";"1987 Novagen";"whdload";"0";"Backlash";"Backlash";"480926";"B\Backlash\Backlash.Slave";"0";"B\Backlash";"524288";"Backlash";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoKbd";"Back to the Future III ? 1991 Image Works/Konami.";"1991 Image Works/Konami";"whdload";"0";"Back To The Future III";"BackToTheFutureIII";"1513652";"B\BackToTheFutureIII\BackToTheFutureIII.Slave";"0";"B\BackToTheFutureIII";"524288";"BackToTheFutureIII";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Back To The Future 2 by Image Works (c) 1990 - 1 disk.";"1990 Image Works";"whdload";"0";"Back to the Future 2";"BackToTheFuturePart2";"910110";"B\BackToTheFuturePart2\BackToTheFuturePart2.slave";"0";"B\BackToTheFuturePart2";"524288";"BackToTheFuturePart2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bad Company by Logotron (c) 1990 - 1 disk.";"1990 Logotron";"whdload";"0";"Bad Company";"BadCompany";"674917";"B\BadCompany\BadCompany.slave";"0";"B\BadCompany";"524288";"BadCompany";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bad Dudes Vs. Dragon Ninja (c) 1988 Data East/";"1988 Data East/Imagine";"whdload";"0";"Bad Dudes Vs. Dragon Ninja";"BadDudesNTSC";"919641";"B\BadDudesNTSC\BadDudesNTSC.Slave";"0";"B\BadDudesNTSC";"524288";"BadDudes";"OCS/ECS";"";"";"";"NTSC";""
"NoError, EmulTrap, ClearMem";"Bad Dudes Vs. Dragon Ninja (c) 1988 Data East/";"1988 Data East/Imagine";"whdload";"0";"Bad Dudes Vs. Dragon Ninja";"BadDudesVsDragonNinja";"927211";"B\BadDudesVsDragonNinja\BadDudesVsDragonNinja.slave";"0";"B\BadDudesVsDragonNinja";"524288";"BadDudesVsDragonNinja";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Badlands ? 1990 Tengen.";"1990 Tengen";"whdload";"0";"Badlands";"BadLands";"919766";"B\BadLands\Badlands.slave";"0";"B\BadLands";"524288";"BadLands";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Badlands Pete (c) 1990 ARC - 1 disk.";"1990 ARC";"whdload";"0";"Badlands Pete";"BadlandsPete";"1007160";"B\BadlandsPete\BadlandsPete.Slave";"0";"B\BadlandsPete";"524288";"BadlandsPete";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"The Ball Game ? 1991 Electronic Zoo.";"1991 Electronic Zoo ";"whdload";"0";"The Ball Game";"BallGame";"379518";"B\BallGame\BallGame.Slave";"0";"B\BallGame";"524288";"BallGame";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Ballistix ? Psyclapse/Reflexions";"1989 Psyclapse/Reflexions ";"whdload";"0";"Ballistix ";"Ballistix";"924998";"B\Ballistix\Ballistix.slave";"0";"B\Ballistix";"524288";"Ballistix";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bangkok Knights ? 1989 System 3.";"1989 System 3";"whdload";"0";"Bangkok Knights";"BangkokKnights";"1820924";"B\BangkokKnights\BangkokKnights.slave";"0";"B\BangkokKnights";"524288";"BangkokKnights";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Banzai ? 1989 Swedish Software.";"1989 Swedish Software";"whdload";"0";"Banzai";"Banzai";"1375795";"B\Banzai\Banzai.Slave";"0";"B\Banzai";"524288";"Banzai";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Barbarian 2 ? 1991 Psygnosis/Pandemonium.";"1991 Psygnosis";"whdload";"0";"Barbarian 2";"Barbarian2Psygnosis";"3175361";"B\Barbarian2Psygnosis\Barbarian2Psygnosis.Slave";"0";"B\Barbarian2Psygnosis";"524288";"Barbarian2Psygnosis";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"The Simpsons - Bart Vs the Space Mutants (c) 1991";"1991 Acclaim/Ocean";"whdload";"0";"Bart Vs the Space Mutants";"BartVsSpaceMutants2Disk";"1289661";"B\BartVsSpaceMutants2Disk\BartVsSpaceMutants2Disk.Slave";"0";"B\BartVsSpaceMutants2Disk";"524288";"BartVsSpaceMutants";"OCS/ECS";"";"";"";"2Disk";""
"NoError, EmulTrap, ClearMem";"Bart Vs the World ? 1993 Virgin.";"1993 Virgin";"whdload";"0";"Bart VS the World";"BartVsTheWorld";"968277";"B\BartVsTheWorld\BartVsTheWorld.slave";"4096";"B\BartVsTheWorld";"524288";"BartVsTheWorld";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"";"UBI Soft/Computer Dream";"whdload";"0";"Bat";"BAT";"1718548";"B\BAT\BAT.Slave";"0";"B\BAT";"524288";"BAT";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoKbd";"Batman - The Caped Crusader ? 1989 Ocean";"1989 Ocean";"whdload";"0";"Batman Caped Crusader";"BatmanCapedCrusader";"837720";"B\BatmanCapedCrusader\BatmanCapedCrusader.Slave";"0";"B\BatmanCapedCrusader";"524288";"BatmanCapedCrusader";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Batman The Movie ? 1989 Ocean.";"1889 Ocean";"whdload";"0";"Batman the Movie";"BatmanTheMovie2Disk";"800361";"B\BatmanTheMovie2Disk\BatmanTheMovie2Disk.Slave";"0";"B\BatmanTheMovie2Disk";"524288";"BatmanTheMovie";"OCS/ECS";"";"";"";"2Disk";""
"NoError, EmulTrap, ClearMem";"Battle Bound ? 1990 The Warp Factory.";"1990 The Warp Factory";"whdload";"0";"Battle Bound";"BattleBound";"926548";"B\BattleBound\BattleBound.Slave";"0";"B\BattleBound";"524288";"BattleBound";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Battle Command ? 1990 Ocean";"1990 Ocean";"whdload";"0";"Battle Command";"BattleCommand";"917054";"B\BattleCommand\BattleCommand.slave";"8192";"B\BattleCommand";"524288";"BattleCommand";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"";"";"whdload";"1024";"";"Battleships";"365777";"B\Battleships\Battleships.slave";"";"B\Battleships";"524288";"Battleships";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"";"1989 Innerprise";"whdload";"0";"Battle Squadron";"BattleSquadron";"1005419";"B\BattleSquadron\BattleSquadron.slave";"4096";"B\BattleSquadron";"524288";"BattleSquadron";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Battle Valley by Hewson (c) 1989 - 1 disk.";"1989 Hewson";"whdload";"0";"Battle Valley";"BattleValley";"637627";"B\BattleValley\BattleValley.Slave";"0";"B\BattleValley";"524288";"BattleValley";"OCS/ECS";"";"";"";"";""
"Disk, NoError, ClearMem";"B.C.Kid ? 1992 Hudson-Soft/Factor 5.";"1992 Hudson-Soft/Factor 5";"whdload";"0";"B.C.Kid";"BCKid";"1045685";"B\BCKid\BCKid.Slave";"4096";"B\BCKid";"524288";"BCKid";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd";"Beach Volley (c) 1989 Ocean.";"1989 Ocean";"whdload";"0";"Beach Volley";"BeachVolley";"839225";"B\BeachVolley\BeachVolley.Slave";"0";"B\BeachVolley";"524288";"BeachVolley";"OCS/ECS";"";"";"";"";""
