"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deconstruction ? 1994-98 Brain-Logo";"1994-98 Brain Logo";"whdload";"0";"Deconstruction";"DeconstructionAGA";"3850458";"D\DeconstructionAGA\DeconstructionAGA.Slave";"524288";"D\DeconstructionAGA";"2097152";"Deconstruction";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"Deluxe Galaga ? 1995 Edgar M.Vigdal";"1995 Edgar M.Vigdal.";"whdload";"0";"Deluxe Galaga (AGA) v2.6";"DeluxeGalagaAGA";"1661287";"D\DeluxeGalagaAGA\DeluxeGalagaAGA.Slave";"1048576";"D\DeluxeGalagaAGA";"2097152";"DeluxeGalaga";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deluxe Pacman ? 1995 Edgar M.Vigdal";"1995 Edgar M.Vigdal.";"whdload";"0";"Deluxe Pacman (AGA) v1.6";"DeluxePacmanAGA";"760336";"D\DeluxePacmanAGA\DeluxePacmanAGA.Slave";"1048576";"D\DeluxePacmanAGA";"1048576";"DeluxePacman";"AGA";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Dennis ? 1993 Ocean.";"1993 Ocean";"whdload";"0";"Dennis AGA";"DennisAGA";"1436009";"D\DennisAGA\DennisAGA.slave";"0";"D\DennisAGA";"2097152";"Dennis";"AGA";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Dennis ? 1993 Ocean.";"1993 Ocean";"whdload";"0";"Dennis AGA";"DennisAGADesktopDynamite";"1391566";"D\DennisAGADesktopDynamite\DennisAGA.slave";"0";"D\DennisAGADesktopDynamite";"2097152";"DennisAGADesktopDynamite";"OCS/ECS";"";"";"";"";""
"NoError, ReqAGA, EmulPriv, ClearMem, Examine";"Detroit ? 1994 Impressions";"1994 Impressions";"whdload";"0";"Detroit AGA";"DetroitAGA";"1747308";"D\DetroitAGA\DetroitAGA.Slave";"1507328";"D\DetroitAGA";"917504";"Detroit";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, Examine";"";"1993 Mindscape";"whdload";"0";"D/Generation (AGA)";"DGenerationAGA";"1705674";"D\DGenerationAGA\DGenerationAGA.slave";"1572864";"D\DGenerationAGA";"1048576";"DGeneration";"AGA";"";"";"";"";""
"NoError, EmulTrap, EmulPriv, Examine";"Diggers AGA/CD32 (c)1993 Millenium.";"1993 Millenium";"whdload";"0";"Diggers AGA/CD32 ";"DiggersAGA";"3138000";"D\DiggersAGA\DiggersAGA.slave";"524288";"D\DiggersAGA";"2097152";"Diggers";"AGA";"";"";"";"";""
"NoError, EmulTrap";"Donk by The Hidden (c) 1993 - 3 disks.";"1993 The Hidden";"whdload";"0";"Donk";"DonkTheSamuraiDuckAGA";"2977780";"D\DonkTheSamuraiDuckAGA\DonkTheSamuraiDuckAGA.slave";"0";"D\DonkTheSamuraiDuckAGA";"2097152";"DonkTheSamuraiDuck";"AGA";"";"";"";"";""
"NoError, ReqAGA, ClearMem";"Dragon Tiles ?1992 S.J.Smith";"1992 S.J.Smith";"whdload";"0";"Dragon Tiles AGA";"DragonTilesAGA";"544337";"D\DragonTilesAGA\DragonTilesAGA.Slave";"12288";"D\DragonTilesAGA";"520192";"DragonTiles";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"DreamWeb AGA or OCS (c) 1993 Empire Software.";"1994 Emp¡re Software";"whdload";"0";"DreamWeb";"DreamWebAGA";"3296257";"D\DreamWebAGA\DreamWebAGA.Slave";"983040";"D\DreamWebAGA";"1114112";"DreamWeb";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Dungeon Master II: The Legend of Skullkeep";"1994 Interplay";"whdload";"0";"Dungeon Master II: The Legend of Skullkeep";"DungeonMaster2AGA";"5808081";"D\DungeonMaster2AGA\DungeonMaster2AGA.Slave";"1572864";"D\DungeonMaster2AGA";"1572864";"DungeonMaster2";"AGA";"";"";"";"";""
"NoError, EmulPriv, Examine";"Fantasy Flyer ?1994 Gallica/Cobwebcut/Gabriel Leroy";"1994 Gallica/Cobwebcut/Gabriel Leroy.";"whdload";"0";"Fantasy Flyer (mode AGA)";"FantasyFlyerAGA";"2033629";"F\FantasyFlyerAGA\FantasyFlyerAGA.Slave";"262144";"F\FantasyFlyerAGA";"2097152";"FantasyFlyer";"AGA";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"1992 Black Legend";"whdload";"0";"Fatman - The Caped Consumer (AGA)";"FatmanCapedConsumerAGA";"3635276";"F\FatmanCapedConsumerAGA\FatmanCapedConsumerAGA.Slave";"0";"F\FatmanCapedConsumerAGA";"2093056";"FatmanCapedConsumer";"AGA";"";"";"";"";""
"Disk, NoError";"Fears floppy & CD?? ? 1995 Bomb Software";"1995 Manyk";"whdload";"0";"Fears";"FearsAGA";"2755293";"F\FearsAGA\FearsAGA.slave";"1310720";"F\FearsAGA";"2088960";"Fears";"AGA";"";"";"";"";""
"Disk, NoError";"Fears floppy & CD?? ? 1995 Bomb Software";"1995 Manyk";"whdload";"0";"Fears";"FearsAGACensored";"2755301";"F\FearsAGACensored\FearsAGACensored.slave";"1310720";"F\FearsAGACensored";"2088960";"Fears";"AGA";"";"";"";"Censored";""
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Fightin' Spirit ? 1996 Neo";"1996 Neo";"whdload";"0";"Fightin";"FightinSpiritAGA";"4093252";"F\FightinSpiritAGA\FightinSpiritAGA.Slave";"4096";"F\FightinSpiritAGA";"1777664";"FightinSpirit";"AGA";"";"";"";"";""
"NoError, NoDivZero, ReqAGA, EmulPriv, ClearMem, Examine";"Football Glory ? 1994 Black Legend";"1994 Black Legend";"whdload";"0";"Football Glory (AGA)";"FootballGloryAGA";"1826895";"F\FootballGloryAGA\FootballGloryAGA.Slave";"917504";"F\FootballGloryAGA";"1114112";"FootballGlory";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, ClearMem";"Gloom ? 1995 Black Magic";"1995 Black Magic";"whdload";"0";"Gloom";"GloomAGA";"1221758";"G\GloomAGA\GloomAGA.slave";"1097728";"G\GloomAGA";"741376";"Gloom";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, ClearMem, Examine";"Gunship 2000 ? 1993 Microprose";"1993 Microprose";"whdload";"0";"Gunship 2000 AGA";"Gunship2000AGA";"3466679";"G\Gunship2000AGA\Gunship2000AGA.slave";"1572864";"G\Gunship2000AGA";"1048576";"Gunship2000";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Heimdall 2 Aga/Ecs/CD32 (C)1994 Core Design.";"1994 Core Design";"whdload";"0";"Heimdall 2 AGA ";"Heimdall2AGA";"5120417";"H\Heimdall2AGA\Heimdall2AGA.Slave";"524288";"H\Heimdall2AGA";"2097152";"Heimdall2";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, Examine";"High Seas Trader ? 1995 Impressions";"1995 Impressions";"whdload";"0";"High Seas Trader";"HighSeasTraderAGA";"3507233";"H\HighSeasTraderAGA\HighSeasTraderAGA.Slave";"1572864";"H\HighSeasTraderAGA";"2093056";"HighSeasTrader";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, ClearMem";"Humans III: Evolution - Lost in time ? 1996 Gametek";"1996 Gametek";"whdload";"0";"Humans III: Evolution - Lost in time...";"Humans3AGA";"2713749";"H\Humans3AGA\Humans3AGA.Slave";"8192";"H\Humans3AGA";"1789952";"Humans3";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv";"Impossible Mission 2025 (ECS/AGA) ? 1993 Microprose.";"1993 Microprose";"whdload";"0";"Impossible Mission 2025";"ImpossibleMission2025AGA";"1317831";"I\ImpossibleMission2025AGA\ImpossibleMission2025AGA.slave";"1048576";"I\ImpossibleMission2025AGA";"2031616";"ImpossibleMission2025";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Ishar II ? 1993 Silmarils.";"1993 Silmarils";"whdload";"0";"Ishar II Aga (Messengers Of Doom)";"Ishar2AGA";"2937627";"I\Ishar2AGA\Ishar2AGA.Slave";"786432";"I\Ishar2AGA";"1703936";"Ishar2";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Ishar III ? 1994 Silmarils.";"1994 Silmarils";"whdload";"0";"Ishar III AGA";"Ishar3AGA";"5596258";"I\Ishar3AGA\Ishar3AGA.Slave";"786432";"I\Ishar3AGA";"1703936";"Ishar3";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Ishar ? 1992 Silmarils.";"1992 Silmarils";"whdload";"0";"Ishar Aga (Legend Of The Fortress)";"IsharAGA";"1552987";"I\IsharAGA\IsharAGA.Slave";"786432";"I\IsharAGA";"1572864";"Ishar";"AGA";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"James Pond 2 ECS/AGA ? 1991-93 Millennium - 1 disk";"1993 MILLENIUM";"whdload";"0";"Robocod (James Pond 2) Aga";"JamesPond2AGA";"511277";"J\JamesPond2AGA\JamesPond2AGA.Slave";"0";"J\JamesPond2AGA";"2097152";"JamesPond2";"AGA";"";"";"";"";""
"NoError, ReqAGA";"James Pond 3:Operation Starfish by Millenium/Vector Dean (c) 1993 - 3 disks.";"";"whdload";"0";"";"JamesPond3AGA";"1849885";"J\JamesPond3AGA\JamesPond3AGA.slave";"";"J\JamesPond3AGA";"2097152";"JamesPond3";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, ClearMem, Examine";"Jetstrike ? 1994 Rasputin";"1994 Rasputin";"whdload";"0";"Jetstrike AGA Intro";"JetstrikeAGA";"3722530";"J\JetstrikeAGA\JetstrikeAGAIntro.Slave";"917504";"J\JetstrikeAGA";"1048576";"Jetstrike";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, ClearMem, Examine";"Jetstrike ? 1994 Rasputin";"1994 Rasputin";"whdload";"0";"Jetstrike AGA";"JetstrikeAGA";"3722530";"J\JetstrikeAGA\JetstrikeAGA.Slave";"1572864";"J\JetstrikeAGA";"1703936";"Jetstrike";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, ReqAGA";"Jurassic Park ? 1993 Ocean";"1994 Ocean";"whdload";"0";"Jurassic Park AGA";"JurassicParkAGA";"3906824";"J\JurassicParkAGA\JurassicParkAGA.slave";"0";"J\JurassicParkAGA";"2097152";"JurassicPark";"AGA";"";"";"";"";""
"NoError, EmulTrap";"Kick Off 3 European Challenge ? 1994 Anco.";"1994 Anco";"whdload";"0";"Kick Off 3 European Challenge AGA";"KickOff3EC_AGA";"2730383";"K\KickOff3EC_AGA\KickOff3EC_AGA.Slave";"0";"K\KickOff3EC_AGA";"2097152";"KickOff3EC_";"AGA";"";"";"";"";""
"NoError, EmulTrap, EmulPriv, Examine";"Leading Lap AGA/ECS (C)1995 Black Legend.";"1995 Black Legend";"whdload";"0";"Leading Lap AGA";"LeadingLapMPVAGA";"1230514";"L\LeadingLapMPVAGA\LeadingLapMPVAGA.slave";"1048576";"L\LeadingLapMPVAGA";"2097152";"LeadingLapMPV";"AGA";"";"";"";"";""
"NoError, EmulTrap, EmulPriv, Examine";"Leading Lap AGA/ECS (C)1995 Black Legend.";"1995 Black Legend";"whdload";"0";"Leading Lap AGA";"LeadingLapMPVAGACUAmiga";"816711";"L\LeadingLapMPVAGACUAmiga\LeadingLapMPVAGACUAmiga.slave";"1048576";"L\LeadingLapMPVAGACUAmiga";"2097152";"LeadingLapMPV";"AGA";"";"";"";"CUAmiga";""
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Legends AGA/CD32 ? 1994 Krisalis.";"1994 krisalis";"whdload";"0";"Legends AGA/CD32";"LegendsAGA";"4674539";"L\LegendsAGA\LegendsAGA.Slave";"524288";"L\LegendsAGA";"2097152";"Legends";"AGA";"";"";"";"";""
"Disk, NoError, EmulTrap";"The Lion King (AGA), ?1994 Virgin / Disney";"1994 Virgin / Disney";"whdload";"0";"Disney";"LionKingAGA";"2712289";"L\LionKingAGA\LionKingAGA.Slave";"0";"L\LionKingAGA";"2097152";"LionKing";"AGA";"";"";"";"";""
