"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"3DNetAnalyzer\3DNetAnalyzer.Slave";"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"0";"#\3DNetAnalyzer_v1.0_DoctorMabuseOrgasmCrackings.lha";"3DNetAnalyzer";"3DNetAnalyzer";"0";"whdload";"524288";"842261";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"Pouet";"";"";"Doctor Mabuse Orgasm Crackings";"0\3d-net-analyzer-doctor-mabuse-orgasm-crackings";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067014.png";"october 1988";"3D-Net-Analyzer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67014";"3d net analyzer 3dnetanalyzer doctor mabuse orgasm crackings 3dnetanalyzerdoctormabuseorgasmcrackings"
"5Yards\5Yards.Slave";"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"5 Yards";"1991 Vision";"0";"#\5Yards_v1.0_Vision.lha";"5Yards";"5Yards";"0";"whdload";"524288";"92702";"5Yards";"OCS/ECS";"";"";"";"";"";"5 yards vision";"Exact";"100";"Pouet";"n/a";"n/a";"Vision";"0\5-yards-vision";"intro";"RAF Conference 1991";"http://content.pouet.net/files/screenshots/00048/00048887.png";"march 1991";"5 Yards";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=48887";"5 yards 5yards vision 5yardsvision"
"8BitJungle\8BitJungle.slave";"NoError, EmulTrap";"8-Bit Jungle ? 2011 Unstable Label.";"8-Bit Jungle";"2011 Unstable Label";"0";"#\8BitJungle_v1.01_UnstableLabel.lha";"8BitJungle";"8BitJungle";"0";"whdload";"1048576";"2594214";"8BitJungle";"OCS/ECS";"";"";"";"";"";"8 bit jungle unstable label";"Exact";"100";"Pouet";"oldskool demo";"2nd";"Unstable Label";"0\8-bit-jungle-unstable-label";"musicdisk";"Sunrise 2011";"http://content.pouet.net/files/screenshots/00057/00057727.jpg";"september 2011";"8-Bit Jungle";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=57727";"8 bit jungle 8bitjungle unstable label 8bitjungleunstablelabel"
"9Fingers\9Fingers.Slave";"Disk, NoError";"9 fingers ? 1990 Spaceballs.";"9 fingers";"1990 Spaceballs";"0";"#\9Fingers_v1.2_Spaceballs.lha";"9Fingers";"9Fingers";"1024";"whdload";"1028096";"1814911";"9Fingers";"OCS/ECS";"";"";"";"";"";"9 fingers spaceballs";"Exact";"100";"Pouet";"amiga demo";"4th";"Spaceballs";"0\9-fingers-spaceballs";"demo";"The Party 1993";"http://content.pouet.net/files/screenshots/00000/00000100.gif";"december 1993";"9 Fingers";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=100";"9 fingers 9fingers spaceballs 9fingersspaceballs"
"A.S.S\A.S.S.slave";"Disk, NoError, EmulTrap";":";"Antediluvian Sloppy Spectacle";"1993 Essence";"524288";"A\AntediluvianSloppySpectacle_v1.0_Essence.lha";"A.S.S";"A.S.S";"0";"whdload";"524288";"914711";"A.S.S";"OCS/ECS";"";"";"";"";"";"antediluvian sloppy spectacle essence";"Exact";"100";"Pouet";"";"";"essence";"a\antediluvian-sloppy-spectacle-essence";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008679.gif";"july 1993";"Antediluvian Sloppy Spectacle";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8679";"antediluvian sloppy spectacle antediluviansloppyspectacle essence antediluviansloppyspectacleessence"
"A1200DemoAGA\A1200DemoAGA.slave";"Disk, NoError, Req68020, ReqAGA";"A1200 Demo ? 1993 Complex (1 disk)";"A1200 Demo";"1993 Complex";"4096";"A\A1200Demo_v1.0_Complex_AGA.lha";"A1200DemoAGA";"A1200DemoAGA";"0";"whdload";"2097152";"912458";"A1200";"AGA";"";"";"Demo";"";"";"official commodore france a1200 demo digital";"Exact";"100";"Pouet";"";"";"Digital";"o\official-commodore-france-a1200-demo-digital";"demo";"";"http://content.pouet.net/files/screenshots/00012/00012336.jpg";"april 1992";"Official Commodore France A1200 demo";"Amiga AGA";"http://www.pouet.net/prod.php?which=12336";"official commodore france a 1200 demo officialcommodorefrancea1200demo digital officialcommodorefrancea1200demodigital"
"AbsenceOfLight\AbsenceOfLight.Slave";"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"Absence of Light";"1991 Animators";"0";"A\AbsenceOfLight_v1.0_Animators.lha";"AbsenceOfLight";"AbsenceOfLight";"0";"whdload";"524288";"456895";"AbsenceOfLight";"OCS/ECS";"";"";"";"";"";"absence of light animators";"Exact";"100";"Pouet";"n/a";"n/a";"animators";"a\absence-of-light-animators";"musicdisk";"CeBIT 1991";"http://content.pouet.net/files/screenshots/00031/00031944.gif";"march 1991";"Absence of Light";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31944";"absence of light absenceoflight animators absenceoflightanimators"
"AbsoluteInebriation\AbsoluteInebriation.Slave";"NoError, EmulTrap";"Absolute Inebriation ? 1992 Virtual Dreams.";"Absolute Inebriation";"1992 Fairlight/Virtual Dreams";"524288";"A\AbsoluteInebriation_v1.1_Fairlight&VirtualDreams.lha";"AbsoluteInebriation";"AbsoluteInebriation";"0";"whdload";"524288";"1817858";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";"";"absolute inebriation fairlight virtual dreams";"Best";"4.833653";"Pouet";"amiga demo";"6th";"Virtual Dreams,Fairlight";"a\absolute-inebriation-virtual-dreams-fairlight";"demo";"The Party 1992";"http://content.pouet.net/files/screenshots/00001/00001468.gif";"december 1992";"Absolute Inebriation";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1468";"absolute inebriation absoluteinebriation virtual dreams fairlight absoluteinebriationvirtualdreamsfairlight"
"AbsoluteSwedish\AbsoluteSwedish.slave";"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"Absolute Swedish";"1993 Phew! Productions";"0";"A\AbsoluteSwedish_v1.01_PhewProductions.lha";"AbsoluteSwedish";"AbsoluteSwedish";"0";"whdload";"524288";"925128";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";"";"absolute swedish phew productions";"Best";"6.662787";"Janeway Amiga Scene Demo Database";;;"Phew! Productions";;"Musicdisk";"";;"";"Absolute Swedish 1";;;"absolute swedish 1 absoluteswedish1 phew productions absoluteswedish1phewproductions"
"AcidInTheHouse\AcidInTheHouse.Slave";"NoError, ClearMem";"Acid in the House ? 1989 North Star & The Silents.";"Acid in the House";"1989 North Star & The Silents";"0";"A\AcidInTheHouse_v1.0_NorthStar&Silents.lha";"AcidInTheHouse";"AcidInTheHouse";"0";"whdload";"524288";"921836";"AcidInTheHouse";"OCS/ECS";"";"";"";"";"";"acid in the house north star silents";"Best";"1.452182";"Pouet";"";"";"Northstar,The Silents";"a\acid-in-the-house-northstar-the-silents_#2";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067513.png";"1989";"Acid In The House";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67513";"acid in the house acidinthehouse northstar the silents acidinthehousenorthstarthesilents"
"Acme1991Slideshow\Acme1991Slideshow.Slave";"NoError, EmulTrap, ClearMem";"Acme 1991 Slideshow ? 1991 Acme.";"Acme 1991 Slideshow";"1991 Acme";"0";"A\Acme1991Slideshow_v1.0_Acme.lha";"Acme1991Slideshow";"Acme1991Slideshow";"0";"whdload";"524288";"922192";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";"";"acme 1991 slideshow";"Best";"4.742514";"Pouet";"none";"n/a";"Acme (Amiga)";"a\acme-slideshow-1991-reflection-of-perfection-acme-amiga";"slideshow";"Anarchy Easter Party 1991";"http://content.pouet.net/files/screenshots/00032/00032140.gif";"march 1991";"Acme Slideshow 1991 (Reflection of Perfection)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=32140";"acme slideshow 1991 reflection of perfection acmeslideshow1991reflectionofperfection acme amiga acmeslideshow1991reflectionofperfectionacmeamiga"
"AFewTunes\AFewTunes.Slave";"NoError, EmulTrap, ClearMem";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"A few Tunes by Dr. Awesome & Fleshbrain";"1990 Crusaders";"0";"A\AFewTunes_v1.0_Crusaders.lha";"AFewTunes";"AFewTunes";"0";"whdload";"524288";"920410";"AFewTunes";"OCS/ECS";"";"";"";"";"";"afew tunes few by dr awesome fleshbrain crusaders";"Best";"4.258955";"Janeway Amiga Scene Demo Database";;;"The Crusaders";;"Musicdisk";"";;"";"A Few Tunes by Dr. Awesome and Fleshbrain";;;"a few tunes by dr awesome and fleshbrain afewtunesbydrawesomeandfleshbrain the crusaders afewtunesbydrawesomeandfleshbrainthecrusaders"
"Alchemy\Alchemy.Slave";"NoError, EmulTrap, ClearMem";"Alchemy 1993 Rage.";"Alchemy";"1993 Rage";"524288";"A\Alchemy_v1.0_Rage.lha";"Alchemy";"Alchemy";"0";"whdload";"524288";"1822528";"Alchemy";"OCS/ECS";"";"";"";"";"";"alchemy rage";"Exact";"100";"Pouet";"amiga demo";"1st";"Rage";"a\alchemy-rage";"demo";"The Computer Crossroad 1993";"http://content.pouet.net/files/screenshots/00015/00015957.jpg";"may 1993";"Alchemy";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15957";"alchemy alchemy rage alchemyrage"
"AlfredTheMusicDisk\AlfredTheMusicDisk.slave";"NoError, EmulTrap, ClearMem";"Alfred - The Music Disk ? 1991 Relay.";"Alfred";"1991 Relay";"0";"A\AlfredTheMusicDisk_v1.01_Relay.lha";"AlfredTheMusicDisk";"AlfredTheMusicDisk";"0";"whdload";"524288";"925593";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";"";"alfred the music disk relay";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Relay";;"Musicdisk";"";;"";"Alfred The Music Disk";;;"alfred the music disk alfredthemusicdisk relay alfredthemusicdiskrelay"
"Algebra\Algebra.Slave";"NoError, EmulPriv, Examine";"Algebra ? 1991 Dragon Stone.";"Algebra";"1991 Dragon Stone";"262144";"A\Algebra_v1.0_DragonStone.lha";"Algebra";"Algebra";"0";"whdload";"589824";"911318";"Algebra";"OCS/ECS";"";"";"";"";"";"algebra dragon stone";"Exact";"100";"Demos Custom";;;"Dragon Stone";;"Demo";"";;"1991";"Algebra";"ECS/OCS";;"algebra algebra dragon stone algebradragonstone"
"Aloha\Aloha.Slave";"NoError, EmulTrap, ClearMem";"Aloha ? 1989 Rebels.";"Aloha";"1989 Rebels";"0";"A\Aloha_v1.0_Rebels.lha";"Aloha";"Aloha";"0";"whdload";"524288";"90505";"Aloha";"OCS/ECS";"";"";"";"";"";"aloha rebels";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Rebels";;"Demo";"";;"7/89";"Aloha";;;"aloha aloha rebels aloharebels"
"Alpha&Omega\Alpha&Omega.Slave";"Disk, NoError";"Alpha and Omega ? 1991 Pure Metal Coders.";"Alpha and Omega";"1991 Pure Metal Coders";"0";"A\Alpha&Omega_v1.0_PureMetalCoders.lha";"Alpha&Omega";"Alpha&Omega";"0";"whdload";"524288";"908538";"Alpha&Omega";"OCS/ECS";"";"";"";"";"";"alpha omega and pure metal coders";"Best";"4.601851";"Pouet";"amiga demo";"2nd";"Pure Metal Coders";"a\alpha-omega-pure-metal-coders";"demo";"Amega 1991";"http://content.pouet.net/files/screenshots/00003/00003205.gif";"june 1991";"Alpha & Omega";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3205";"alpha omega alphaomega pure metal coders alphaomegapuremetalcoders"
"AlternativeReality\AlternativeReality.Slave";"NoError, EmulTrap, ClearMem";"Alternative Reality 1992 Suspect.";"Alternative Reality";"1992 Suspect";"524288";"A\AlternativeReality_v1.0_Suspect.lha";"AlternativeReality";"AlternativeReality";"0";"whdload";"524288";"921744";"AlternativeReality";"OCS/ECS";"";"";"";"";"";"alternative reality suspect";"Exact";"100";"Pouet";"amiga demo";"3rd";"suspect";"a\alternative-reality-suspect";"demo";"Warszawa 2 1992";"http://content.pouet.net/files/screenshots/00051/00051592.png";"october 1992";"Alternative Reality";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=51592";"alternative reality alternativereality suspect alternativerealitysuspect"
"AmazingTunes\AmazingTunes.Slave";"NoError, EmulTrap, ClearMem";"Amazing Tunes ? 1988 Share and Enjoy.";"Amazing Tunes";"1988 Share and Enjoy";"0";"A\AmazingTunes_v1.01_ShareAndEnjoy.lha";"AmazingTunes";"AmazingTunes";"0";"whdload";"524288";"741947";"AmazingTunes";"OCS/ECS";"";"";"";"";"";"amazing tunes share and enjoy megaforce";"Exact";"100";"Pouet";"";"";"Share And Enjoy,Megaforce";"a\amazing-tunes-share-and-enjoy-megaforce";"musicdisk";"";"http://content.pouet.net/files/screenshots/00030/00030544.png";"january 1989";"Amazing Tunes";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=30544";"amazing tunes amazingtunes share and enjoy megaforce amazingtunesshareandenjoymegaforce"
"AmazingTunes2\AmazingTunes2.Slave";"NoError, EmulTrap, ClearMem";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"Amazing Tunes 2";"1990 Share and Enjoy";"524288";"A\AmazingTunes2_v1.0_ShareAndEnjoy.lha";"AmazingTunes2";"AmazingTunes2";"0";"whdload";"524288";"2727369";"AmazingTunes2";"OCS/ECS";"";"";"";"";"";"amazing tunes 2 share and enjoy";"Best";"4.67305";"Pouet";"none";"n/a";"Share And Enjoy";"a\amazing-tunes-ii-share-and-enjoy";"musicdisk";"Dexion X-Mas Conference 1990";"http://content.pouet.net/files/screenshots/00019/00019695.gif";"december 1990";"Amazing Tunes II";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19695";"amazing tunes 2 amazingtunes2 share and enjoy amazingtunesiishareandenjoy"
"Amplifier1\Amplifier1.Slave";"NoError, EmulTrap, ClearMem";"Amplifier I ? 1991 Dimension 4.";"Amplifier I";"1991 Dimension 4";"0";"A\Amplifier1_v1.0_Dimension4.lha";"Amplifier1";"Amplifier1";"0";"whdload";"524288";"691999";"Amplifier1";"OCS/ECS";"";"";"";"";"";"amplifier 1 dimension 4";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Dimension 4";;"Musicdisk";"";;"";"Amplifier 1";;;"amplifier 1 amplifier1 dimension 4 amplifier1dimension4"
"Amplifier2\Amplifier2.slave";"NoError, EmulTrap, ClearMem";"Amplifier II ? 1991 Dimension 4.";"Amplifier II";"1991 Dimension 4";"0";"A\Amplifier2_v1.01_Dimension4.lha";"Amplifier2";"Amplifier2";"0";"whdload";"524288";"1444096";"Amplifier2";"OCS/ECS";"";"";"";"";"";"the amplifier 2 dimension 4";"Exact";"100";"Pouet";"";"";"Dimension4";"t\the-amplifier-2-dimension4";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067641.png";"august 1991";"The Amplifier 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67641";"the amplifier 2 theamplifier2 dimension 4 theamplifier2dimension4"
"Analogia\Analogia.Slave";"NoError, ClearMem";"Analogia ? 1991 Analog";"Analogia";"1991 Analog";"4096";"A\Analogia_v1.1_Analog.lha";"Analogia";"Analogia";"0";"whdload";"524288";"929897";"Analogia";"OCS/ECS";"";"";"";"";"";"analogia analog";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Analog";;"Demo";"";;"";"Analogia";;;"analogia analogia analog analogiaanalog"
"AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"NoError";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"Anarchy - Announcetro";"1991 The Silents & Anarchy";"4096";"A\AnarchyAnnouncetro_v1.0_Silents&Anarchy.lha";"AnarchyAnnouncetro";"AnarchyAnnouncetro";"0";"whdload";"364544";"195247";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";"";"anarchy announcetro the silents";"Best";"2.99802";"Pouet";"";"";"The Silents,Anarchy";"a\anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2";"demo";"";"http://content.pouet.net/files/screenshots/00010/00010252.gif";"december 1991";"Anarchy (announcetro/Silents fr last demo)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10252";"anarchy announcetro silents fr last demo anarchyannouncetrosilentsfrlastdemo the silents anarchy anarchyannouncetrosilentsfrlastdemothesilentsanarchy"
"AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"NoError, EmulTrap, ClearMem";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"Anarchy Party 1991 Slideshow";"1991 Razor 1911";"0";"A\AnarchyParty1991Slideshow_v1.0_Razor1911.lha";"AnarchyParty1991Slideshow";"AnarchyParty1991Slideshow";"0";"whdload";"524288";"924973";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";"";"anarchy party slide razor 1911";"Exact";"100";"Pouet";"";"";"Razor 1911";"a\anarchy-party-slide-razor-1911";"slideshow";"";"http://content.pouet.net/files/screenshots/00011/00011507.jpg";"january 1991";"anarchy party slide";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=11507";"anarchy party slide anarchypartyslide razor 1911 anarchypartysliderazor1911"
"AnimatunesAGA\AnimatunesAGA.slave";"Disk, NoError, Req68020, ReqAGA, ClearMem";"Animatunes ? 1994 NGC.";"Animatunes";"1994 NGC";"4096";"A\Animatunes_v1.0_NewGenerationCrew_AGA.lha";"AnimatunesAGA";"AnimatunesAGA";"0";"whdload";"2097152";"1821719";"Animatunes";"AGA";"";"";"";"";"";"the animatunes";"Exact";"100";"Pouet";"";"";"New Generation Crew";"t\the-animatunes-new-generation-crew";"demo";"";"http://content.pouet.net/files/screenshots/00003/00003026.gif";"august 1994";"The Animatunes";"Amiga AGA";"http://www.pouet.net/prod.php?which=3026";"the animatunes theanimatunes new generation crew theanimatunesnewgenerationcrew"
"Animotion\Animotion.slave";"NoError, EmulTrap, ClearMem";"Animotion ? 1990 Phenomena.";"Animotion";"1990 Phenomena";"0";"A\Animotion_v1.01_Phenomena.lha";"Animotion";"Animotion";"0";"whdload";"524288";"219165";"Animotion";"OCS/ECS";"";"";"";"";"";"animotion phenomena";"Exact";"100";"Pouet";"amiga demo";"1st";"Phenomena";"a\animotion-phenomena";"demo";"Dexion X-Mas Conference 1990";"http://content.pouet.net/files/screenshots/00001/00001627.png";"december 1990";"Animotion";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1627";"animotion animotion phenomena animotionphenomena"
"Announce\Announce.Slave";"NoError";"Announce ? 1993 Lemon.";"Announce";"1993 Lemon.";"528384";"A\Announce_v1.0_Lemon.lha";"Announce";"Announce";"0";"whdload";"466944";"345406";"Announce";"OCS/ECS";"";"";"";"";"";"announce lemon";"Exact";"100";"Pouet";"";"";"Lemon.";"a\announce-lemon";"demo";"";"http://content.pouet.net/files/screenshots/00000/00000411.gif";"march 1993";"Announce";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=411";"announce announce lemon announcelemon"
