"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"Disk, NoError, EmulTrap";":";"1993 Essence";"whdload";"0";"Antediluvian Sloppy Spectacle";"A.S.S";"914711";"A\A.S.S\A.S.S.slave";"524288";"A\A.S.S";"524288";"A.S.S";"OCS/ECS";"";"";"";"";""
"Disk, NoError, Req68020, ReqAGA";"A1200 Demo ? 1993 Complex (1 disk)";"1993 Complex";"whdload";"0";"A1200 Demo";"A1200DemoAGA";"912458";"A\A1200DemoAGA\A1200DemoAGA.slave";"4096";"A\A1200DemoAGA";"2097152";"A1200";"AGA";"";"";"Demo";"";""
"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"1991 Animators";"whdload";"0";"Absence of Light";"AbsenceOfLight";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"0";"A\AbsenceOfLight";"524288";"AbsenceOfLight";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Absolute Inebriation ? 1992 Virtual Dreams.";"1992 Fairlight/Virtual Dreams";"whdload";"0";"Absolute Inebriation";"AbsoluteInebriation";"1817244";"A\AbsoluteInebriation\AbsoluteInebriation.Slave";"524288";"A\AbsoluteInebriation";"524288";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"1993 Phew! Productions";"whdload";"0";"Absolute Swedish";"AbsoluteSwedish";"925128";"A\AbsoluteSwedish\AbsoluteSwedish.slave";"0";"A\AbsoluteSwedish";"524288";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Acid in the House ? 1989 North Star & The Silents.";"1989 North Star & The Silents";"whdload";"0";"Acid in the House";"AcidInTheHouse";"921836";"A\AcidInTheHouse\AcidInTheHouse.Slave";"0";"A\AcidInTheHouse";"524288";"AcidInTheHouse";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Acme 1991 Slideshow ? 1991 Acme.";"1991 Acme";"whdload";"0";"Acme 1991 Slideshow";"Acme1991Slideshow";"922192";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"0";"A\Acme1991Slideshow";"524288";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"1990 Crusaders";"whdload";"0";"A few Tunes by Dr. Awesome & Fleshbrain";"AFewTunes";"920410";"A\AFewTunes\AFewTunes.Slave";"0";"A\AFewTunes";"524288";"AFewTunes";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Alchemy 1993 Rage.";"1993 Rage";"whdload";"0";"Alchemy";"Alchemy";"1822528";"A\Alchemy\Alchemy.Slave";"524288";"A\Alchemy";"524288";"Alchemy";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Alfred - The Music Disk ? 1991 Relay.";"1991 Relay";"whdload";"0";"Alfred";"AlfredTheMusicDisk";"925593";"A\AlfredTheMusicDisk\AlfredTheMusicDisk.slave";"0";"A\AlfredTheMusicDisk";"524288";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Aloha ? 1989 Rebels.";"1989 Rebels";"whdload";"0";"Aloha";"Aloha";"90505";"A\Aloha\Aloha.Slave";"0";"A\Aloha";"524288";"Aloha";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"Alpha and Omega ? 1991 Pure Metal Coders.";"1991 Pure Metal Coders";"whdload";"0";"Alpha and Omega";"Alpha&Omega";"907924";"A\Alpha&Omega\Alpha&Omega.Slave";"0";"A\Alpha&Omega";"524288";"Alpha&Omega";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Alternative Reality 1992 Suspect.";"1992 Suspect";"whdload";"0";"Alternative Reality";"AlternativeReality";"921744";"A\AlternativeReality\AlternativeReality.Slave";"524288";"A\AlternativeReality";"524288";"AlternativeReality";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Amazing Tunes ? 1988 Share and Enjoy.";"1988 Share and Enjoy";"whdload";"0";"Amazing Tunes";"AmazingTunes";"741947";"A\AmazingTunes\AmazingTunes.Slave";"0";"A\AmazingTunes";"524288";"AmazingTunes";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"1990 Share and Enjoy";"whdload";"0";"Amazing Tunes 2";"AmazingTunes2";"2726771";"A\AmazingTunes2\AmazingTunes2.Slave";"524288";"A\AmazingTunes2";"524288";"AmazingTunes2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Amplifier I ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier I";"Amplifier1";"691999";"A\Amplifier1\Amplifier1.Slave";"0";"A\Amplifier1";"524288";"Amplifier1";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Amplifier II ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier II";"Amplifier2";"1444096";"A\Amplifier2\Amplifier2.slave";"0";"A\Amplifier2";"524288";"Amplifier2";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Analogia ? 1991 Analog";"1991 Analog";"whdload";"0";"Analogia";"Analogia";"929897";"A\Analogia\Analogia.Slave";"4096";"A\Analogia";"524288";"Analogia";"OCS/ECS";"";"";"";"";""
"NoError";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"1991 The Silents & Anarchy";"whdload";"0";"Anarchy - Announcetro";"AnarchyAnnouncetro";"195247";"A\AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"4096";"A\AnarchyAnnouncetro";"364544";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"1991 Razor 1911";"whdload";"0";"Anarchy Party 1991 Slideshow";"AnarchyParty1991Slideshow";"924973";"A\AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"0";"A\AnarchyParty1991Slideshow";"524288";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";""
"Disk, NoError, Req68020, ReqAGA, ClearMem";"Animatunes ? 1994 NGC.";"1994 NGC";"whdload";"0";"Animatunes";"AnimatunesAGA";"1821719";"A\AnimatunesAGA\AnimatunesAGA.slave";"4096";"A\AnimatunesAGA";"2097152";"Animatunes";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Animotion ? 1990 Phenomena.";"1990 Phenomena";"whdload";"0";"Animotion";"Animotion";"219165";"A\Animotion\Animotion.slave";"0";"A\Animotion";"524288";"Animotion";"OCS/ECS";"";"";"";"";""
"NoError";"Announce ? 1993 Lemon.";"1993 Lemon.";"whdload";"0";"Announce";"Announce";"345406";"A\Announce\Announce.Slave";"528384";"A\Announce";"466944";"Announce";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Apocalypse 1992 Gods.";"1992 Gods";"whdload";"0";"Apocalypse";"Apocalypse";"394645";"A\Apocalypse\Apocalypse.Slave";"0";"A\Apocalypse";"524288";"Apocalypse";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Aquarium 1993 Carillon & Cyberiad.";"1993 Carillon & Cyberiad";"whdload";"0";"Aquarium";"Aquarium";"727468";"A\Aquarium\Aquarium.Slave";"524288";"A\Aquarium";"524288";"Aquarium";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Art and Go ? 1993 Impulse.";"1993 Impulse";"whdload";"0";"Art and Go";"Art&Go";"917773";"A\Art&Go\Art&Go.Slave";"0";"A\Art&Go";"524288";"Art&Go";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Arte ? 1993 Sanity.";"1993 Sanity";"whdload";"0";"Arte";"Arte";"898402";"A\Arte\Arte.Slave";"499712";"A\Arte";"495616";"Arte";"OCS/ECS";"";"";"";"";""
"NoError, Req68020, ReqAGA, ClearMem";"Artificial Paradise ? 1994 NGC.";"1994 NGC";"whdload";"0";"Artificial Paradise";"ArtificialParadiseAGA";"1825148";"A\ArtificialParadiseAGA\ArtificialParadiseAGA.slave";"4293160960";"A\ArtificialParadiseAGA";"2097152";"ArtificialParadise";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Art of Noise 3 ? 1991 Northtech.";"1991 Northtech";"whdload";"0";"Art of Noise 3";"ArtOfNoise3";"683031";"A\ArtOfNoise3\ArtOfNoise3.Slave";"0";"A\ArtOfNoise3";"524288";"ArtOfNoise3";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Art of Noise 4 ? 1991 Northtech.";"1991 Northtech";"whdload";"0";"Art of Noise 4";"ArtOfNoise4";"751379";"A\ArtOfNoise4\ArtOfNoise4.Slave";"0";"A\ArtOfNoise4";"524288";"ArtOfNoise4";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Assemblo ? 1992 World Industries.";"1992 World Industries";"whdload";"0";"Assembblo";"Assemblo";"364154";"A\Assemblo\Assemblo.Slave";"0";"A\Assemblo";"524288";"Assemblo";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Assembly '92 Slideshow ? 1992 World Industries.";"1992 World Industries";"whdload";"0";"Assembly ";"Assembly92Slideshow";"919999";"A\Assembly92Slideshow\Assembly92Slideshow.Slave";"0";"A\Assembly92Slideshow";"524288";"Assembly92Slideshow";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Astrogate ? 1990 Byterapers.";"1990 Byterapers";"whdload";"0";"Astrogate";"Astrogate";"96978";"A\Astrogate\Astrogate.Slave";"0";"A\Astrogate";"524288";"Astrogate";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Atmospherical Melodies ? 1997 Carnage.";"1997 Carnage";"whdload";"0";"Atmospherical Melodies";"AtmosphericalMelodies";"919602";"A\AtmosphericalMelodies\AtmosphericalMelodies.Slave";"0";"A\AtmosphericalMelodies";"524288";"AtmosphericalMelodies";"OCS/ECS";"";"";"";"";""
"NoError, NoDivZero, Req68020, ReqAGA, ClearMem";"Atome ? 1996 Skarla";"1996 Skarla";"whdload";"0";"Atome";"AtomeAGA";"1244357";"A\AtomeAGA\AtomeAGA.Slave";"1224704";"A\AtomeAGA";"946176";"Atome";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The Audience is Listening ? 1991 Taipan";"1991 Taipan";"whdload";"0";"The Audience is Listening";"AudienceIsListening";"336712";"A\AudienceIsListening\AudienceIsListening.Slave";"0";"A\AudienceIsListening";"524288";"AudienceIsListening";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Audio Dreams ? 1993 Chaos.";"1993 Chaos";"whdload";"0";"Audio Dreams";"AudioDreams";"1822380";"A\AudioDreams\AudioDreams.Slave";"0";"A\AudioDreams";"524288";"AudioDreams";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"AudiOmega ? 1993 Rebels.";"1993 Rebels";"whdload";"0";"AudiOmega";"AudiOmega";"919453";"A\AudiOmega\AudiOmega.Slave";"0";"A\AudiOmega";"524288";"AudiOmega";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Audio Rhythm 2 ? 1993 Tronix.";"1993 Tronix";"whdload";"0";"Audio Rhythm 2";"AudioRhythm2";"958238";"A\AudioRhythm2\AudioRhythm2.Slave";"524288";"A\AudioRhythm2";"524288";"AudioRhythm2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Audio Violation ? 1993 Defekt.";"1993 Defekt";"whdload";"0";"Audio Violation";"AudioViolation";"819433";"A\AudioViolation\AudioViolation.slave";"524288";"A\AudioViolation";"524288";"AudioViolation";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Audio X ? 19?? Crusaders.";"";"whdload";"0";"";"AudioX";"920604";"A\AudioX\AudioX.slave";"";"A\AudioX";"524288";"AudioX";"OCS/ECS";"";"";"";"";""
"NoError, NoDivZero, Req68020, ReqAGA, ClearMem";"Authentik ? 1995 Skarla";"1995 Skarla";"whdload";"0";"Authentik";"AuthentikAGA";"1608946";"A\AuthentikAGA\AuthentikAGA.Slave";"2621440";"A\AuthentikAGA";"983040";"Authentik";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Autumn Nights ? 1992 Palace.";"1992 Palace";"whdload";"0";"Autumn Nights";"AutumnNights";"925721";"A\AutumnNights\AutumnNights.slave";"0";"A\AutumnNights";"524288";"AutumnNights";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Back 2 Base ? 1989 Crusaders.";"1989 Crusaders";"whdload";"0";"Back 2 Base";"Back2Base";"547099";"B\Back2Base\Back2Base.Slave";"0";"B\Back2Base";"524288";"Back2Base";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Bacteria ? 19?? Crusaders.";"";"whdload";"0";"";"Bacteria";"922371";"B\Bacteria\Bacteria.slave";"";"B\Bacteria";"524288";"Bacteria";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bandit's Radio 1993 Mad Elks.";"1993 Mad Elks";"whdload";"0";"Bandit";"BanditsRadio";"918791";"B\BanditsRadio\BanditsRadio.Slave";"524288";"B\BanditsRadio";"524288";"BanditsRadio";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Banging Raves ? 1991 Intuition.";"1991 Intuition";"whdload";"0";"Banging Raves";"BangingRaves";"407706";"B\BangingRaves\BangingRaves.Slave";"0";"B\BangingRaves";"524288";"BangingRaves";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Banging Raves 2 ? 1991 Intuition.";"1991 Intuition";"whdload";"0";"Banging Raves 2";"BangingRaves2";"477375";"B\BangingRaves2\BangingRaves2.Slave";"0";"B\BangingRaves2";"524288";"BangingRaves2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bard In A Box ? 1991 Academy.";"1991 Academy";"whdload";"0";"Bard in a Box";"BardInABox";"921289";"B\BardInABox\BardInABox.slave";"0";"B\BardInABox";"524288";"BardInABox";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Basso Continuo ? 1992 Fury.";"1992 Fury";"whdload";"0";"Basso Continuo";"BassoContinuo";"796257";"B\BassoContinuo\BassoContinuo.Slave";"0";"B\BassoContinuo";"524288";"BassoContinuo";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bass-O-Matic ? 1991 Crusaders.";"1991 Crusaders";"whdload";"0";"Bass-O-Matic";"BassOMatic";"1821989";"B\BassOMatic\BassOMatic.Slave";"524288";"B\BassOMatic";"524288";"BassOMatic";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Batman Vuelve (c) 1995 Batman Group - 2 disks.";"1995 Batman Group";"whdload";"0";"Batman Vuelve";"BatmanVuelve";"1826019";"B\BatmanVuelve\BatmanVuelve.Slave";"4096";"B\BatmanVuelve";"1048576";"BatmanVuelve";"OCS/ECS";"";"";"";"";""
"NoError";"Baygon ? 1993 Melon.";"1993 Melon Dezign";"whdload";"0";"Baygon";"BaygonAGA";"921600";"B\BaygonAGA\BaygonAGA.Slave";"0";"B\BaygonAGA";"1802240";"Baygon";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"BBS Intro ? 1992 Technology.";"1992 Taurus";"whdload";"0";"BBS Intro";"BBSIntro";"108246";"B\BBSIntro\BBSIntro.Slave";"0";"B\BBSIntro";"524288";"BBS";"OCS/ECS";"";"";"";"Intro";""
"NoError, ClearMem";"Beach Volley demo ? 1990 Paradox";"1990 Paradox";"whdload";"0";"Beach Volley demo";"BeachVolleyDemo";"161643";"B\BeachVolleyDemo\BeachVolleyDemo.Slave";"4096";"B\BeachVolleyDemo";"524288";"BeachVolley";"OCS/ECS";"";"";"Demo";"";""
"NoError, EmulPriv";"Beast Sonix, ?1989 Scoopex";"1989 Scoopex";"whdload";"0";"-* B E A S T   S O N I X *-";"BeastSonix";"910986";"B\BeastSonix\BeastSonix.Slave";"262144";"B\BeastSonix";"524288";"BeastSonix";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Beat Box ? 1989 The Warfalcons.";"1989 The Warfalcons";"whdload";"0";"Beat Box";"BeatBox";"852880";"B\BeatBox\BeatBox.Slave";"0";"B\BeatBox";"524288";"BeatBox";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Beatvise ? 1989 Ivory.";"1989 Ivory";"whdload";"0";"Beatvise";"Beatvise";"921096";"B\Beatvise\Beatvise.Slave";"0";"B\Beatvise";"524288";"Beatvise";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The Beginning ? 1990 Byterapers.";"1990 Byterapers";"whdload";"0";"The Beginning";"Beginning";"167713";"B\Beginning\Beginning.Slave";"0";"B\Beginning";"524288";"Beginning";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bernhard Sumner Music Disk 1 ? 1991 Relay.";"1991 Relay";"whdload";"0";"Bernhard Sumner Music Disk 1";"BernhardSumnerMusicDisk1";"925052";"B\BernhardSumnerMusicDisk1\BernhardSumnerMD1.Slave";"524288";"B\BernhardSumnerMusicDisk1";"524288";"BernhardSumnerMusicDisk1";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"The Best of Grubi ? 1991 Brainstorm.";"1991 Brainstorm";"whdload";"0";"The Best of Grubi";"BestOfGrubi";"923901";"B\BestOfGrubi\BestOfGrubi.Slave";"0";"B\BestOfGrubi";"524288";"BestOfGrubi";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The Best of Pearl ? 1991 Byte Busters.";"1991 Byte Busters";"whdload";"0";"The Best of Pearl";"BestOfPearl";"920460";"B\BestOfPearl\BestOfPearl.Slave";"0";"B\BestOfPearl";"524288";"BestOfPearl";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Best of RAF Vol.1 1990 Katharsis.";"1990 Katharsis";"whdload";"0";"Best of RAF Vol.1";"BestOfRAFVol1";"966794";"B\BestOfRAFVol1\BestOfRAFVol1.Slave";"0";"B\BestOfRAFVol1";"524288";"BestOfRAFVol1";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Beyond Justice ? 1991 Dexion.";"1991 Dexion";"whdload";"0";"Beyond Justice";"BeyondJustice";"455565";"B\BeyondJustice\BeyondJustice.Slave";"0";"B\BeyondJustice";"524288";"BeyondJustice";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ReqAGA";"Beyond The Future ? 1994 Union.";"1994 Union";"whdload";"0";"Beyond The Future";"BeyondTheFutureAGA";"1867725";"B\BeyondTheFutureAGA\BeyondTheFutureAGA.Slave";"1966080";"B\BeyondTheFutureAGA";"524288";"BeyondTheFuture";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Big Business ? 1991 Defjam.";"1991 The Silents";"whdload";"0";"Big Business";"BigBusiness";"427646";"B\BigBusiness\BigBusiness.Slave";"0";"B\BigBusiness";"524288";"BigBusiness";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"B.I.G. Demo ? 1988 The Exceptions/Mr.Styckx";"1988 The Exceptions";"whdload";"0";"The B.I.G. Demo";"BIGDemo";"607468";"B\BIGDemo\BIGDemo.Slave";"4096";"B\BIGDemo";"618496";"BIG";"OCS/ECS";"";"";"Demo";"";""
"Disk, NoError, Req68020, ReqAGA";"Big Time Sensuality ? 1994 Axis.";"1994 Axis";"whdload";"0";"Big Time Sensuality";"BigTimeSensualityAGA";"1814084";"B\BigTimeSensualityAGA\BigTimeSensualityAGA.slave";"0";"B\BigTimeSensualityAGA";"2019328";"BigTimeSensuality";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Black Energy ? 1992 Hardline.";"1992 Hardline";"whdload";"0";"Black Energy";"BlackEnergy";"920585";"B\BlackEnergy\BlackEnergy.Slave";"0";"B\BlackEnergy";"524288";"BlackEnergy";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Black and White ? 1991 Pentagon/Drifters - 1 disk";"1991 Pentagon/Drifters";"whdload";"0";"Black & White";"BlackNWhite";"914885";"B\BlackNWhite\BlackNWhite.Slave";"4096";"B\BlackNWhite";"524288";"BlackNWhite";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Blasting ? 1989 Gate.";"1989 Gate";"whdload";"0";"Blasting";"Blasting";"249242";"B\Blasting\Blasting.Slave";"0";"B\Blasting";"524288";"Blasting";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Blue House 2 ? 1991 Rebels.";"1991 Rebels";"whdload";"0";"Blue House 2";"BlueHouse2";"253723";"B\BlueHouse2\BlueHouse2.slave";"0";"B\BlueHouse2";"524288";"BlueHouse2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Blues House ? 1991 The Silents.";"1991 The Silents";"whdload";"0";"Blues House";"BluesHouse";"1823511";"B\BluesHouse\BluesHouse.Slave";"0";"B\BluesHouse";"524288";"BluesHouse";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Bomb the Bass - Tuneshow 2 ? 1989 Trash & The Top Boys.";"1989 Trash & The Top Boys";"whdload";"0";"Bomb the Bass - Tuneshow 2";"BombTheBaseTuneshow2";"906358";"B\BombTheBaseTuneshow2\BombTheBaseTuneshow2.Slave";"0";"B\BombTheBaseTuneshow2";"524288";"BombTheBaseTuneshow2";"OCS/ECS";"";"";"";"";""
"NoError";"Book of Songs ? 1992 Complex.";"1992 Complex";"whdload";"0";"Book of Songs";"BookOfSongs";"1679074";"B\BookOfSongs\BookOfSongs.Slave";"524288";"B\BookOfSongs";"524288";"BookOfSongs";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Our Definition of a Boombastic Demo Style ? 1991 Rebels.";"1991 Rebels";"whdload";"0";"Our Definition of a Boombastic Demo Style";"Boombastic";"346190";"B\Boombastic\Boombastic.slave";"0";"B\Boombastic";"524288";"Boombastic";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Boris Vallejo ? 1996 Apocalypse Bay - 1 disk";"1996 Apocalypse Bay";"whdload";"0";"Boris Vallejo slide";"BorisVallejoSlide";"918460";"B\BorisVallejoSlide\BorisVallejoSlide.Slave";"434176";"B\BorisVallejoSlide";"524288";"BorisVallejoSlide";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Boulder Demo ? 1988 Tristar.";"1988 Tristar";"whdload";"0";"Boulder Demo";"BoulderDemo";"338243";"B\BoulderDemo\BoulderDemo.Slave";"0";"B\BoulderDemo";"524288";"Boulder";"OCS/ECS";"";"";"Demo";"";""
