"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"NoError, ClearMem";"481908";"0-9\3DPool\3DPictures.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"3d pool pictures english"
"NoError, EmulTrap, EmulPriv, Examine";"1565979";"0-9\3DWorldSoccer\3DWorldSoccer.Slave";"3D World Soccer ? 1992 Simulmondo.";"0";"3DWorldSoccer";"3D World Soccer";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"3d world soccer english"
"NoError, EmulPriv, Examine";"730208";"0-9\3DWorldTennis\3DWorldTennis.Slave";"3D World Tennis ? 1992 Simulmondo.";"0";"3DWorldTennis";"3D World Tennis";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldTennis";"OCS/ECS";"";"";"";"";"3d world tennis english"
"NoError, EmulPriv, Examine";"1126562";"0-9\4DSportsBoxing\4DSportsBoxing.Slave";"4D Sports Boxing ? 1991 Mindscape";"0";"4DSportsBoxing";"4D Sports Boxing";"1991 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsBoxing";"OCS/ECS";"";"";"";"";"4d sports boxing english"
"NoError, EmulPriv, Examine";"1258913";"0-9\4DSportsDriving\4DSportsDriving.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving";"OCS/ECS";"";"";"";"";"4d sports driving english"
"NoError, EmulPriv, Examine";"1280583";"0-9\4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving&MstrTrcks";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving&MstrTrcks";"OCS/ECS";"";"";"";"";"4d sports driving mstr trcks english"
"NoError, EmulPriv, Examine";"251010";"0-9\4th&Inches\4th&Inches.Slave";"4th & Inches ? 1988 Accolade.";"0";"4th&Inches";"4th & Inches";"1988 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4th&Inches";"OCS/ECS";"";"";"";"";"4 th inches english"
"EmulPriv, ClearMem, Examine";"734821";"0-9\4x4OffRoadRacing\4x4OffRoadRacing.Slave";"";"0";"4x4OffRoadRacing";"4x4 Off Road Racing";"1989 Epyx / U.S. Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"";"4 off road racing english"
"NoError, EmulTrap";"925429";"0-9\5thGear\5thGear.Slave";"5th Gear (c) 1988 Hewson - 1 disk.";"0";"5thGear";"5th Gear";"1988 Hewson";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"5thGear";"OCS/ECS";"";"";"";"";"5 th gear english"
"NoError, EmulPriv, Examine";"820377";"0-9\688AttackSub\688AttackSub.slave";"688 Attack Sub ? 1990 Electronic Arts";"0";"688AttackSub";"688 Attack Sub";"1990 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"688AttackSub";"OCS/ECS";"";"";"";"";"688 attack sub english"
"NoError, ClearMem";"835860";"0-9\7Colors\7Colors.Slave";"7 Colors ? 1991 Infogrames";"0";"7Colors";"7 Colors";"1991 Infogrames";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"7Colors";"OCS/ECS";"";"";"";"";"7 colors english"
"NoError, EmulTrap, ClearMem";"577648";"0-9\9Lives\9Lives.Slave";"9 Lives (c) 1990 ARC - 1 disk.";"0";"9Lives";"9 Lives";"1990 ARC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"9Lives";"OCS/ECS";"";"";"";"";"9 lives english"
"NoError, EmulPriv, Examine";"2341564";"A\A10TankKiller3Disk\A10TankKiller3Disk.Slave";"A10 Tank Killer ? 1989-1991 Dynamix.";"0";"A10TankKiller3Disk";"A-10 Tank Killer";"1989-1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"A10TankKiller";"OCS/ECS";"";"";"";"3Disk";"10 tank killer english"
"NoError, EmulPriv, Examine";"1341340";"A\A10TankKiller2Disk\A10TankKiller2Disk.Slave";"A10 Tank Killer ? 1989-1991 Dynamix.";"0";"A10TankKiller2Disk";"A-10 Tank Killer";"1989-1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"A10TankKiller";"OCS/ECS";"";"";"";"2Disk";"10 tank killer english"
"Disk, NoError, EmulTrap";"4519401";"A\AbandonedPlaces\AbandonedPlaces.slave";"Abandoned Places ? 1992 ArtGame.";"0";"AbandonedPlaces";"";"";"1040384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AbandonedPlaces";"OCS/ECS";"";"";"";"";"abandoned places a time for heroes"
"NoError, EmulTrap, EmulPriv, Examine";"3339108";"A\AbandonedPlaces2\AbandonedPlaces2.Slave";"Abandoned Places 2 ? 1993 ICE Ltd.";"0";"AbandonedPlaces2";"Abandoned Places 2";"1993 ICE Ltd";"1044480";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AbandonedPlaces2";"OCS/ECS";"";"";"";"";"abandoned places 2 english"
"NoError, EmulPriv, Examine";"2455365";"A\ABCMondayNightFootball\ABCMondayNightFootball.slave";"ABC Monday Night Football ? 1991 Data East.";"0";"ABCMondayNightFootball";"ABC Monday Night Football";"1991 Data East";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ABCMondayNightFootball";"OCS/ECS";"";"";"";"";"abcmonday night football abc monday english"
"NoError, EmulPriv, Examine";"1178670";"A\Abracadabra\Abracadabra.Slave";"game called:";"0";"Abracadabra";"Abra cadabra & Baba Yaga";"1989 Coktel Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Abracadabra";"OCS/ECS";"";"";"";"";"abracadabra abra cadabra baba yaga english"
"NoError, EmulTrap";"356900";"A\Academy\Academy.slave";"Academy by CRL Group/ComTek (c) 1988.";"0";"Academy";"Academy";"1988 CRL";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Academy";"OCS/ECS";"";"";"";"";"academy english"
"NoError, ClearMem";"1143477";"A\AceBallAGA\AceBallAGA.Slave";"Ace Ball ? 1995 Tim Soft";"0";"AceBallAGA";"Ace Ball (AGA)";"1995 Tim Soft";"925696";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AceBall";"AGA";"";"";"";"";"ace ball english"
"Disk, NoError, EmulTrap, ReqAGA, ClearMem";"1969139";"A\ACSYSDemoAGA\ACSYSDemoAGA.Slave";"A.C.SYS ? 1998 Joerg Belger/Unique.";"0";"ACSYSDemoAGA";"ACSYS";"2000 Unique";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"ACSYS";"AGA";"";"";"Demo";"";"acsys english"
"NoError, EmulTrap, NoDivZero";"360614";"A\ActionFighter\ActionFighter.slave";"Action Fighter ? 1989 Sega/Firebird/Kixx.";"0";"ActionFighter";"Action Fighter";"1989 Sega/Firebird/Kixx";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ActionFighter";"OCS/ECS";"";"";"";"";"action fighter english"
"NoError, EmulTrap";"932194";"A\AddamsFamily\AddamsFamily.Slave";"Addams Family (c) 1992 Ocean - 1 disk.";"0";"AddamsFamily";"Addams Family";"1992 Ocean";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AddamsFamily";"OCS/ECS";"";"";"";"";"addams family english"
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"918054";"A\Adrenalynn\Adrenalynn.Slave";"Adrenalynn ? 1991 Exponentia.";"0";"Adrenalynn";"Adrenalynn";"1991 Exponentia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Adrenalynn";"OCS/ECS";"";"";"";"";"adrenalynn english"
"NoError, EmulPriv, ClearMem, Examine";"562904";"A\AdvancedDestroyerSim\AdvancedDestroyerSim.Slave";"Advanced Destroyer Simulator ? 1991 Futura.";"0";"AdvancedDestroyerSim";"Advanced Destroyer Simulator";"1991 Futura";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdvancedDestroyerSim";"OCS/ECS";"";"";"";"";"advanced destroyer sim simulator english"
"NoError, EmulTrap";"817900";"A\AdvancedSkiSimulator\AdvancedSkiSimulator.slave";"Advanced Ski Simulator ? 199? Code Masters.";"0";"AdvancedSkiSimulator";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdvancedSkiSimulator";"OCS/ECS";"";"";"";"";"advanced ski simulator english"
"NoError, Req68020";"814655";"A\AdvantageTennis\AdvantageTennis.slave";"";"0";"AdvantageTennis";"Advantage Tennis";"1991 Infogrames";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdvantageTennis";"OCS/ECS";"";"";"";"";"advantage tennis english"
"NoError, EmulPriv, Examine";"912277";"A\AdventureConstructionSet\AdventureConstructionSet.slave";"Adventure Construction Set ? 1986 Electronic Arts";"0";"AdventureConstructionSet";"Adventure Construction Set";"1986 Electronic Arts";"786432";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdventureConstructionSet";"OCS/ECS";"";"";"";"";"adventure construction set english"
"NoError, EmulPriv, Examine";"503629";"A\AdventuresOfGenlockHolmes\AdventuresOfGenlockHolmes.Slave";"The Adventures of Genlock Holmes ? 1990 MicroEd, Inc.";"0";"AdventuresOfGenlockHolmes";"The Adventures of Genlock Holmes";"1990 MicroEd, Inc.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdventuresOfGenlockHolmes";"OCS/ECS";"";"";"";"";"adventures of genlock holmes the english"
"NoError";"578771";"A\AdventuresOfQuik&Silva\AdventuresOfQuik&Silva.Slave";"Quik & Silva (c) 1991 New Bits on the Ram - 1 disk.";"0";"AdventuresOfQuik&Silva";"The Adventures of Quik & Silva";"1991 New Bits on the Ram";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdventuresOfQuik&Silva";"OCS/ECS";"";"";"";"";"adventures of quik silva the english"
"NoError, EmulTrap";"964482";"A\AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"0";"AdventuresOfRobinHood";"Adventures of Robin Hood";"1991 Millenium";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";"adventures of robin hood english"
"NoError, EmulPriv, Examine";"9878788";"A\AdventuresOfWillyBeamish\AdventuresOfWillyBeamish.Slave";"The Adventures Of Willy Beamish ? 1992 Dynamix";"0";"AdventuresOfWillyBeamish";"The Adventures of Willy Beamish";"1992 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AdventuresOfWillyBeamish";"OCS/ECS";"";"";"";"";"adventures of willy beamish the english"
"NoError, EmulPriv, Examine";"421221";"A\AfricanRaiders01\AfricanRaiders01.Slave";"African Raiders-01 ? 1989 Tomahawk.";"0";"AfricanRaiders01";"African Raiders-01";"1989 Tomahawk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AfricanRaiders01";"OCS/ECS";"";"";"";"";"african raiders 01 english"
"Disk, NoError, EmulTrap, NoDivZero";"1364489";"A\AfterBurnerActivision\AfterBurnerActivision.Slave";"";"0";"AfterBurnerActivision";"After Burner";"1988 Sega Enterprises Ltd.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AfterBurnerActivision";"OCS/ECS";"";"";"";"";"after burner activision english"
"NoError, EmulTrap, ClearMem";"910179";"A\AfterBurnerSega\AfterBurnerSega.Slave";"After Burner 2 ? 1989 Sega.";"0";"AfterBurnerSega";"After Burner 2";"1989 Sega";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AfterBurnerSega";"OCS/ECS";"";"";"";"";"after burner sega 2 english"
"NoError, EmulTrap, NoKbd";"913501";"A\AfterTheWar\AfterTheWar.Slave";"After The War by Dinamic (c) 1989 - 1 disk.";"0";"AfterTheWar";"After The War";"1989 Dinamic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AfterTheWar";"OCS/ECS";"";"";"";"";"after the war english"
"NoError, EmulPriv, Examine";"1119594";"A\AGE\AGE.Slave";"AGE ? 1991 Coktel Vision.";"0";"AGE";"AGE ";"1991 Coktel Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AGE";"OCS/ECS";"";"";"";"";"advanced galactic empire"
"NoError, EmulTrap, NoDivZero, ClearMem";"2578555";"A\Agony\Agony.Slave";"Agony ? 1992 Psygnosis.";"0";"Agony";"Agony";"1992 Psygnosis & Art And Magic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Agony";"OCS/ECS";"";"";"";"";"agony english"
"Disk, NoError, EmulTrap";"825310";"A\Airball\Airball.Slave";"Airball ? 1987-89 Microdeal.";"0";"Airball";"Airball";"1987-89 Microdeal";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Airball";"OCS/ECS";"";"";"";"";"airball english"
"NoError, EmulTrap, ClearMem";"800294";"A\AirborneRanger\AirborneRanger.slave";"Airborne Ranger ? 1989 Microprose.";"0";"AirborneRanger";"Airborne Ranger";"1989 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AirborneRanger";"OCS/ECS";"";"";"";"";"airborne ranger english"
"NoError, EmulTrap, NoDivZero, ClearMem";"1933132";"A\AirSupport\AirSupport.Slave";"Air Support ? 1992 Psygnosis";"0";"AirSupport";"Air Support";"1992 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AirSupport";"OCS/ECS";"";"";"";"";"air support english"
"NoError, EmulTrap, ClearMem";"2353509";"A\Akira\Akira.Slave";"Akira ? 1994 Ice - 3 disks";"0";"Akira";"Akira";"1994 Ice";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Akira";"OCS/ECS";"";"";"";"";"akira english"
"NoError, Req68020, ReqAGA, ClearMem";"4704571";"A\AladdinAGA\AladdinAGA.Slave";"Aladdin (c) 1994 Virgin.";"0";"AladdinAGA";"Aladdin";"1994 Virgin";"2048000";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"Aladdin";"AGA";"";"";"";"";"aladdin english"
"NoError, EmulTrap, ClearMem";"1835534";"A\Alcatraz\Alcatraz.Slave";"Alcatraz ? 1992 Infogrames.";"0";"Alcatraz";"Alcatraz";"1992 Infogrames";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Alcatraz";"OCS/ECS";"";"";"";"";"alcatraz english"
"NoError, ClearMem";"357375";"A\AlchemyDemo\AlchemyDemo.Slave";"Alchemy demo ? 1994 Psygnosis";"0";"AlchemyDemo";"Alchemy demo";"1994 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Alchemy";"OCS/ECS";"";"";"Demo";"";"alchemy english"
"NoError, ReqAGA, EmulPriv, Examine";"1261115";"A\AlfredChickenAGA\AlfredChickenAGA.slave";"Alfred Chicken AGA/CD32 ? 1993 Mindscape.";"0";"AlfredChickenAGA";"Alfred Chicken AGA/CD32";"1993 Mindscape";"1572864";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlfredChicken";"AGA";"";"";"";"";"alfred chicken english"
"NoError, EmulTrap, NoKbd, ClearMem";"372468";"A\Alianator\Alianator.Slave";"Alianator ? 1991 P.S.";"0";"Alianator";"Alianator";"1991 P.S. ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Alianator";"OCS/ECS";"";"";"";"";"alianator english"
"Disk, NoError";"1822172";"A\Alien3\Alien3.Slave";"Alien III ? 1992 Virgin";"0";"Alien3";"Alien III";"1992 Virgin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Alien3";"OCS/ECS";"";"";"";"";"alien 3 english"
"NoError, EmulTrap, ClearMem";"272136";"A\AlienBash\AlienBash.Slave";"Alien Bash (c) 1993 Glen Cumming & Stuart Law - 1";"0";"AlienBash";"Alien Bash";"1993 Glen Cumming & Stuart Law";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienBash";"OCS/ECS";"";"";"";"";"alien bash english"
"NoError, EmulTrap";"1063152";"A\AlienBash2\AlienBash2.slave";"Alien Bash 2 by Glen Cumming/Myles Jeffery (c) 1995 - 1 disk.";"0";"AlienBash2";"Alien Bash 2";"1995 Glen Cumming/Myles Jeffery";"720896";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienBash2";"OCS/ECS";"";"";"";"";"alien bash 2 english"
"NoError, EmulTrap, NoKbd";"1840708";"A\AlienBreed\AlienBreed.Slave";"Alien Breed ? 1991 Team 17.";"0";"AlienBreed";"Alien Breed";"1991 Team 17";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienBreed";"OCS/ECS";"";"";"";"";"alien breed english"
"NoError, EmulTrap, ReqAGA, NoKbd, ClearMem";"2973560";"A\AlienBreed2AGA\AlienBreed2AGA.Slave";"Alien Breed 2 - The Horror Continues ? 1993 Team 17.";"0";"AlienBreed2AGA";"Alien Breed 2 AGA";"1993 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed2";"AGA";"";"";"";"";"alien breed 2 english"
"NoError, Req68020, ReqAGA";"1667387";"A\AlienBreed3DAGA\AlienBreed3DAGA.Slave";"Alien Breed 3D ? 1995 Team 17";"0";"AlienBreed3DAGA";"Alien Breed 3D";"1995 Team 17";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed3D";"AGA";"";"";"";"";"alien breed 3d english"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"2586164";"A\AlienBreed3D2AGA\AlienBreed3D2AGA.slave";"Alien Breed 3D II: The Killing Grounds ? 1996 Team 17";"0";"AlienBreed3D2AGA";"Alien Breed 3D II: The Killing Grounds";"1996 Team 17";"905216";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed3D2";"AGA";"";"";"";"";"alien breed 3d 2 the killing grounds english"
"NoError, Req68020, ReqAGA, ClearMem";"1311156";"A\AlienBreed3DDemoLatestAGA\AlienBreed3DDemoLatest.Slave";"Alien Breed 3D demo ? 1995 Team 17";"0";"AlienBreed3DDemoLatestAGA";"Alien Breed 3D demo (files)";"1995 Team 17";"438272";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed3DDemoLatest";"AGA";"";"";"";"";"alien breed 3d latest files english"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"1184823";"A\AlienBreed3DDemoPlayAGA\AlienBreed3DDemoPlayAGA.Slave";"Alien Breed 3D demo ? 1995 Team 17";"0";"AlienBreed3DDemoPlayAGA";"Alien Breed 3D demo/rolling";"1995 Team 17";"999424";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed3DDemoPlay";"AGA";"";"";"";"";"alien breed 3d play rolling english"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"1012153";"A\AlienBreed3DDemoRollAGA\AlienBreed3DDemoRollAGA.Slave";"Alien Breed 3D demo ? 1995 Team 17";"0";"AlienBreed3DDemoRollAGA";"Alien Breed 3D demo/rolling";"1995 Team 17";"999424";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreed3DDemoRoll";"AGA";"";"";"";"";"alien breed 3d roll rolling english"
"NoError, NoKbd";"1272377";"A\AlienBreedSpecialEdition\AlienBreedSpecialEdition.Slave";"Alien Breed Special Edition 1992";"0";"AlienBreedSpecialEdition";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienBreedSpecialEdition";"OCS/ECS";"";"";"";"";"alien breed special edition english"
"NoError, EmulTrap";"932168";"A\AlienBreedStory\AlienBreedStory.Slave";"Alien Breed Story Disk by Team 17 (c) 1991 - 1 disk.";"0";"AlienBreedStory";"Alien Breed - intro";"1991 Team 17";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienBreedStory";"OCS/ECS";"";"";"";"";"alien breed"
"NoError, ClearMem";"2965918";"A\AlienBreedTAAGA\AlienBreedTAAGA.slave";"Alien Breed Tower Assault ? 1994 Team 17";"0";"AlienBreedTAAGA";"Alien Breed Tower Assault";"1994 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreedTA";"AGA";"";"";"";"";"alien breed ta tower assault english"
