"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"Hybris\Hybris.slave";"NoError, ClearMem";"Hybris (c) 1988 Discovery International.";"Hybris";"1988 Discovery Software";"4096";"H\Hybris_v2.4b3_BETA_1457.lha";"Hybris";"Hybris";"0";"whdload";"524288";"736288";"Hybris";"OCS/ECS";"";"";"";"";""
"MagicPocketsNTSC\MagicPocketsNTSC.slave";"NoError, EmulTrap, ClearMem";"";"Magic Pockets";"1991 The Bitmap Brothers";"0";"M\MagicPockets_v3.0_NTSC.lha";"MagicPocketsNTSC";"MagicPocketsNTSC";"0";"whdload";"524288";"945623";"MagicPockets";"OCS/ECS";"";"";"";"NTSC";""
"Netherworld\Netherworld.slave";"Disk, NoError, EmulTrap, ClearMem";"Netherworld ? 1986 Hewson.";"Netherworld";"1988 Hewson";"0";"N\Netherworld_v1.5_2033_BETA.lha";"Netherworld";"Netherworld";"0";"whdload";"524288";"422157";"Netherworld";"OCS/ECS";"";"";"";"";""
"Neutralizer2Demo\Neutralizer2Demo.slave";"NoError";"Neutralizer 2 Demo (c) 1993 Willi Baecker/InBetween";"Neutralizer 2 Demo";"1993 Willi Baecker/InBetween Software";"0";"N\Neutralizer2Demo_v0.1_BETA.lha";"Neutralizer2Demo";"Neutralizer2Demo";"0";"whdload";"524288";"86334";"Neutralizer2";"OCS/ECS";"";"";"Demo";"";""
"NibbyNibble\NibbyNibble.Slave";"NoError, Examine";"";"Nibby Nibble";"1993 Gabriele Roncolato";"0";"N\NibbyNibble_v1.0.lha";"NibbyNibble";"NibbyNibble";"0";"whdload";"524288";"94578";"NibbyNibble";"OCS/ECS";"";"";"";"";""
"Outlands&DizzyDice\Outlands&DizzyDice.slave";"NoError, EmulTrap, ClearMem";"";"Outlands";"1989 Pandora";"0";"O\Outlands&DizzyDice_v0.8_BETA.lha";"Outlands&DizzyDice";"Outlands&DizzyDice";"0";"whdload";"524288";"1410212";"Outlands&DizzyDice";"OCS/ECS";"";"";"";"";""
"ShadowWarriors\ShadowWarriors.slave";"NoError, EmulTrap";"";"Shadow Warriors";"1990 Ocean Software Ltd.";"0";"S\ShadowWarriors_v1.2_BETA_0830.lha";"ShadowWarriors";"ShadowWarriors";"0";"whdload";"524288";"1707317";"ShadowWarriors";"OCS/ECS";"";"";"";"";""
"SuperMonacoGP\SuperMonacoGP.Slave";"NoError, EmulTrap";"Super Monaco GP (c) 1991 US Gold (1 disk).";"Super Monaco GP";"1991 US Gold";"4096";"S\SuperMonacoGP_v1.2_BETA.lha";"SuperMonacoGP";"SuperMonacoGP";"0";"whdload";"524288";"923425";"SuperMonacoGP";"OCS/ECS";"";"";"";"";""
"UNSquadronEarok\UNSquadronEarok.slave";"NoError";"UN Squadron by US Gold (c) 1990 - 1 disk.";"UN Squadron";"1990 US Gold";"0";"U\UNSquadron_v1.2_Hack_by_Earok.lha";"UNSquadronEarok";"UNSquadronEarok";"0";"whdload";"524288";"1128501";"UNSquadronEarok";"OCS/ECS";"";"";"";"";""
"UntouchablesSE\UntouchablesSE.Slave";"NoError, EmulTrap";"";"Untouchables";"1989 Ocean/Special FX";"4096";"U\UntouchablesSpecialEdition_v2.0_Hack_by_Earok.lha";"UntouchablesSE";"UntouchablesSE";"0";"whdload";"524288";"1333585";"UntouchablesSE";"OCS/ECS";"";"";"";"";""
"WipeOut\WipeOut.slave";"NoError, EmulTrap, ClearMem";"Wipe Out ? 1990 Gonzo Games.";"Wipe Out";"1990 Gonzo Games";"0";"W\WipeOut_v1.0_0161.lha";"WipeOut";"WipeOut";"0";"whdload";"524288";"1533864";"WipeOut";"OCS/ECS";"";"";"";"";""
"WonderboyInMonsterlandSE\WonderboyInMonsterlandSE.Slave";"NoError, NoKbd";"";"Wonderboy in Monsterland";"1989 Activision/Sega";"0";"W\WonderboyInMonsterlandSE_v1.1_Hack_by_Earok.lha";"WonderboyInMonsterlandSE";"WonderboyInMonsterlandSE";"0";"whdload";"524288";"918362";"WonderboyInMonsterlandSE";"OCS/ECS";"";"";"";"";""
"ZiriaxUltimateEdition\ZiriaxUltimateEdition.slave";"NoError, EmulTrap, NoKbd, ClearMem";"";"Ziriax";"1990 The Whiz Kids";"0";"Z\Ziriax_v1.3b_Ross_Ultimate_Edition.lha";"ZiriaxUltimateEdition";"ZiriaxUltimateEdition";"0";"whdload";"524288";"912110";"ZiriaxUltimateEdition";"OCS/ECS";"";"";"";"";""
