Whdownload Game Archive File;Whdload Name
AnotherWorld_v2.4_0425.zip;Another World
Antago_v1.0.zip;Antago
Apache_v1.0_0426.zip;Apache & Overdrive (Demo)
ApacheFlight_v1.0.zip;Apache Flight
ApanoSin_v1.3.zip;Apano Sin
APB_v1.1_Files_1708.zip;APB (Files)
Apidya_v2.4_Audios_2465.zip;Apidya (A.U.D.I.O.S.)
Apocalypse_v1.0_1813.zip;Apocalypse
Apprentice_v1.3_2288.zip;Apprentice
Aquablast_v1.1.zip;Aquablast
Aquanaut_v1.3.1_F1Licenceware.zip;Aquanaut (F1 Licenceware)
AquaticGames_v1.1a_1351.zip;Aquatic Games, The: Starring James Pond and the Aquabats
Aquaventura_v1.2_0427.zip;Aquaventura
ArabianNights_v1.4_CD32.zip;Arabian Nights (CD32)
ArabianNights_v1.4_1454.zip;Arabian Nights
ArcadeFruitMachine_v1.0.zip;Arcade Fruit Machine
ArcadePool_v3.0_0298.zip;Arcade Pool
ArcadePool_v3.0_AGA_0298.zip;Arcade Pool (AGA)
ArcadePool_v3.0_CD32.zip;Arcade Pool (CD32)
ArcadeSnooker_v1.0_AGA.zip;Arcade Snooker (AGA)
ArcadeTriviaQuiz_v1.2_0936.zip;Arcade Trivia Quiz
ArcherMacleansBillardAmericain_v1.2.zip;Archer MacLean Presents: Billard Americain
ArcherMacleansPool_v1.2_1096.zip;Archer MacLean's Pool
Archipelagos_v1.0_0627.zip;Archipelagos
Archon_v1.0_0914.zip;Archon: The Light And The Dark
Archon2_v1.0_0905.zip;Archon II: Adept
Arcticfox_v1.2_0909.zip;Arcticfox
Arena_v1.2.zip;Arena (Psygnosis)
Arkanoid_v1.7.zip;Arkanoid
ArkanoidRevengeOfDoh_v1.0_0765.zip;Arkanoid: Revenge Of Doh
ArmageddonMan_v1.0_0629.zip;Armageddon Man, The
Armalyte_v1.2.zip;Armalyte: The Final Run
ArmourGeddon_v1.0.zip;Armour-Geddon
ArmourGeddon2_v1.0_0097.zip;Armour-Geddon II: Codename Hellfire
ArmyMoves_v1.2_2442.zip;Army Moves
Arnie_v1.1_1007.zip;Arnie
Arnie2_v1.0_1924.zip;Arnie 2
ArtOfChess_v1.1_1008.zip;Art Of Chess, The
Artura_v1.1_1086.zip;Artura
AshesOfEmpire_v1.0.zip;Ashes Of Empire
Assassin_v1.1_1214.zip;Assassin
AssassinSpecialEdition_v1.2.zip;Assassin Special Edition
Astaroth_v1.0_1321.zip;Astaroth: The Angel of Death
Astatin_v1.0.zip;Astatin
AsterixOperationGetafix_v1.3_1009.zip;Asterix - Operation Getafix
AstroMarineCorps_v1.1.zip;Astro Marine Corps (AMC)
Atax_v1.0_0950.zip;ATAX
ATF2_v1.1a_2396.zip;ATF II (Advanced Tactical Fighter II)
AtomicRoboKid_v1.4_2243.zip;Atomic Robo-Kid
Atomino_v1.11_0632.zip;Atomino
Atomix_v1.2_1356.zip;Atomix
AtomSmasher_v1.0.zip;Atom Smasher
ATrain_v1.1_1010.zip;A-Train
ATrain&ConstructionSet_v1.1_1010&1469.zip;A-Train & A-Train Construction Set
AttackOfTheGreenSmellyAliensFromPlanet27b6_v1.0.lha;Attack of the Green Smelly Aliens From Planet 27b/6, The
AuntArcticAdventure_v1.0.zip;Aunt Arctic Adventure
AustraloPiticusMechanicus_v1.0a_0809.zip;Australo Piticus Mechanicus
AV8BHarrierAssault_v1.0_0430.lha;AV8B Harrier Assault
Awesome_v2.0_0431.zip;AWESOME
AxelsMagicHammer_v1.1_0432.zip;Axel's Magic Hammer
AxeOfRage_v1.2.zip;Axe Of Rage
AztecChallenge_v1.0.zip;Aztec Challenge
B17FlyingFortress_v1.0_1196.zip;B-17 Flying Fortress
BabaYaga_v1.1.zip;Baba Yaga
BabyJoInGoingHome_v1.1_2291.zip;Baby Jo In "Going Home"
Backlash_v1.0_1118.zip;Backlash
BackToTheFuturePart3_v1.3.zip;Back To The Future Part III
BadCat_v1.0_0976.zip;Bad Cat
BadCompany_v1.1.zip;Bad Company
BadDudes_v1.2_2425.zip;Bad Dudes
BadDudesVsDragonNinja_v1.2_0098.zip;Bad Dudes vs. Dragonninja
BadLands_v1.0_1237.zip;BadLands
BadlandsPete_v1.0.zip;Badlands Pete
Bagitman_v1.1.zip;Bagitman
BalanceOfPower_v1.0_2374.lha;Balance Of Power: Geopolitics In The Nuclear Age
BalanceOfPower1990Edition_v1.0_1818.lha;Balance Of Power: The 1990 Edition
BallGame_v1.0_2051.zip;Ball Game, The
Ballistix_v1.1b_0433.zip;Ballistix
BallRaider_v1.0.lha;Ball Raider
BangkokKnights_v1.0_1137.zip;Bangkok Knights
Banshee_v3.2_CD32.zip;Banshee (CD32)
Banshee_v3.2_AGA_0633.zip;Banshee (AGA)
Barbarian_v1.1b_Psygnosis_1011.zip;Barbarian (Psygnosis)
Barbarian2_v1.2_Palace_2264.zip;Barbarian II: The Dungeon Of Drax (Palace)
BardsTale_v1.0_0010.zip;Bard's Tale, The: Tales Of The Unknown
BarGames_v1.0_2947.zip;Bar Games
BargonAttack_v1.0.zip;Bargon Attack
BartVsTheSpaceMutants_v1.1_1Disk_0884.zip;Simpsons, The - Bart vs. The Space Mutants (1 Disk)
BartVsTheWorld_v1.1_0634.zip;Simpsons, The - Bart vs. The World
BaseJumpers_v2.1b_1799.zip;Base Jumpers
BaseJumpers_v2.1b_CD32.zip;Base Jumpers (CD32)
BAT_v1.3b_2072.zip;B.A.T. (Bureau of Astral Troubleshooters)
BAT2_v1.0_1835.zip;B.A.T. II
BatmanCapedCrusader_v1.1_0050.zip;Batman: The Caped Crusader
BatmanReturns_v1.0.zip;Batman Returns
BatmanTheMovie_v1.4_0019.zip;Batman The Movie
BattleBound_v1.0.zip;Battle Bound
BattleChess_v1.1_CDTV.zip;Battle Chess (CDTV)
BattleChess_v1.1_0263.zip;Battle Chess
BattleChess_v1.1_CD32.zip;Battle Chess (CD32)
BattleChess2_v1.0_0264.zip;Battle Chess II: Chinese Chess
BattleCommand_v1.2_0858.zip;Battle Command
BattleForTheAshes_v1.0_2526.zip;Battle For The Ashes
Battlehawks1942_v1.0_0053.zip;Battlehawks 1942
BattleIsle_v1.8_1991.zip;Battle Isle
BattleIsle&DataDisks_v1.8.zip;Battle Isle: Scenario Disk 1 - Air-Land-Sea & Scenario Disk 2 - The Moon of Chromos
Battlemaster_v1.0_0635.zip;Battlemaster
Battleships_v1.0.zip;Battleships
BattleSquadron_v1.6.1_0941.zip;Battle Squadron: The Destruction Of The Barrax Empire
Battlestorm_v1.2_2008.zip;Battlestorm
Battlestorm_v1.2_CDTV.zip;Battlestorm (CDTV)
Battletoads_v1.2_1816.zip;Battletoads
Battletoads_v1.2_CD32.zip;Battletoads (CD32)
BattleValley_v1.0_1724.zip;Battle Valley
BCKid_v1.2.zip;B.C. Kid
BeachVolley_v1.0_1249.zip;Beach Volley
Beam_v1.0_1304.lha;Beam
BeastBusters_v1.1_1012.zip;Beast Busters
Beastlord_v1.01_2452.zip;Beastlord
Beavers_v1.1_2575.zip;Beavers
BehindTheIronGate_v1.0.zip;Behind The Iron Gate
Belial_v1.0.zip;Belial
BeneathASteelSky_v2.0_CD32.zip;Beneath A Steel Sky (CD32)
BeneathASteelSky_v2.0_0207.zip;Beneath A Steel Sky
Benefactor_v1.1_CD32.zip;Benefactor (CD32)
Benefactor_v1.1_0636.zip;Benefactor
BestOfTheBest_v1.2_2399.zip;Best Of The Best: Championship Karate
Betrayal_v1.0_0812.zip;Betrayal
BetterDeadThanAlien_v1.1_0462.zip;Better Dead Than Alien!
BetterMaths_v1.0.zip;Better Maths
BeverlyHillsCop_v1.0_0179.zip;Beverly Hills Cop
BeyondDarkCastle_v1.0.zip;Beyond Dark Castle
BeyondTheIcePalace_v1.2_1541.zip;Beyond The Ice Palace
BigNoseTheCaveman_v1.0.zip;Big Nose The Caveman
BigRun_v1.0_0301.zip;Big Run
BillsTomatoGame_v2.0_1748.zip;Bill's Tomato Game
BioChallenge_v1.1a_1733.zip;Bio Challenge
BionicCommando_v1.0_1072.zip;Bionic Commando
BiplaneDuel_v1.0.zip;Biplane Duel
BirdsOfPrey_v1.0_0101.zip;Birds Of Prey
BlackCauldron_v1.0_2057.zip;Black Cauldron, The
BlackCrypt_v2.0_0281.zip;Black Crypt
BlackLamp_v1.0_0826.zip;Black Lamp
BlackShadow_v1.0_0997.zip;Black Shadow
BlackTiger_v1.0.zip;Black Tiger
BlackViper_v1.0.zip;Black Viper
BlackViper_v1.0_AGA.zip;Black Viper (AGA)
BlackViper_v1.0_CD32.zip;Black Viper (CD32)
BladeWarrior_v1.3_2201.zip;Blade Warrior
Blastar_v2.0.zip;Blastar
Blasteroids_v1.2_0239.zip;Blasteroids
BlazingThunder_v1.0_2082.zip;Blazing Thunder
BlinkysScarySchool_v1.1_0437.zip;Blinky's Scary School
Blob_v1.2.zip;Blob
Blobz_v1.0_AGA.zip;Blobz (AGA)
BlockOut_v1.2_0208.zip;Blockout
BlockShock_v1.0.lha;Block Shock: The Last Chance
BloodMoney_v1.4_0302.zip;Blood Money
Bloodnet_v2.0_2345.zip;BloodNet: A Cyberpunk Gothic
Bloodnet_v2.0_AGA_1667.zip;BloodNet: A Cyberpunk Gothic (AGA)
Bloodwych_v2.0_0439.zip;Bloodwych
Bloodwych&ExtendedLevels_v2.0_0439&0043.zip;Bloodwych: The Extended Levels
BlueAngel69_v1.01_1303.zip;Blue Angel 69
BlueMax_v1.0_1013.zip;Blue Max: Aces Of The Great War
BluesBrothers_v1.1.zip;Blues Brothers, The
BMXSimulator_v1.0.zip;BMX Simulator
BobsBadDay_v1.2_0637.zip;Bob's Bad Day
BobsGarden_v1.0.zip;Bob's Garden
BodyBlows_v1.2_1147.zip;Body Blows
BodyBlows_v1.2_AGA_1322.zip;Body Blows (AGA)
BodyBlowsGalactic_v2.1_AGA_0440.zip;Body Blows Galactic (AGA)
BodyBlowsGalactic_v2.1_1231.zip;Body Blows Galactic
BomberBob_v1.0_1628.zip;Bomber Bob
BombJack_v1.0_1804.zip;Bomb Jack
BombPacCD32_v1.0_AGA.zip;BombPac (CD32)
Bombuzal_v1.23_1739.zip;Bombuzal
BombX_v1.1.zip;Bomb'X
BonanzaBros_v1.0_0859.zip;Bonanza Bros.
Booly_v1.0_0438.zip;Booly
Borobodur_v1.1_1014.zip;Borobodur: The Planet Of Doom
BorrowedTime_v1.0.lha;Borrowed Time
BostonBombClub_v1.2_1502.zip;Boston Bomb Club
Botics_v1.1.zip;Botics
BoulderDashConstructionKit_v1.0_0464.zip;Boulderdash Construction Kit
Brainball_v1.00.zip;Brainball
BrainBlasters_v1.1_2643.zip;Brain Blasters, The
BrainMan_v1.0.zip;Brain Man
BramStokersDracula_v1.0.zip;Bram Stoker's Dracula
Brat_v2.0.zip;Brat
Brataccas_v1.0_1189.zip;Brataccas
Breathless_v1.1_AGA_0178.zip;Breathless (AGA)
BrianLarasCricket_v1.0_1225.zip;Brian Lara's Cricket
BrianLarasCricket96_v1.0.zip;Brian Lara's Cricket 96
BrianTheLion_v1.3_AGA_0843.zip;Brian The Lion (AGA)
BrianTheLion_v1.3_0240.zip;Brian The Lion
BridesOfDracula_v1.1_0303.zip;Brides Of Dracula
BrutalFootball_v1.21_CD32.zip;Brutal Football: Brutal Sports Series (AGA) (CD32)
BrutalFootball_v1.21_AGA_1837.zip;Brutal Football: Brutal Sports Series (AGA)
BrutalFootball_v1.21_0209.zip;Brutal Football: Brutal Sports Series (AGA)
BrutalPawsOfFury_v1.0_CD32.zip;Brutal Paws Of Fury (CD32)
BrutalPawsOfFury_v1.0_0181.zip;Brutal Paws Of Fury
BSSJaneSeymour_v1.2_0177.zip;Federation Quest 1: B.S.S. Jane Seymour
BubbaNStix_v3.0_CD32.zip;Bubba 'n' Stix (CD32)
BubbaNStix_v3.0_1323.zip;Bubba 'n' Stix
Bubble&Squeak_v1.2_2398.zip;Bubble And Squeak
Bubble&Squeak_v1.2_AGA_0210.zip;Bubble And Squeak (AGA)
Bubble&Squeak_v1.2_CD32.zip;Bubble And Squeak (CD32)
Bubble+_v1.0.zip;Bubble +
BubbleBobble_v1.1_2518.zip;Bubble Bobble
BubbleDizzy_v1.1_1644.zip;Bubble Dizzy
BubbleGun_v1.0.zip;Bubble Gun
BuckRogers25cCountdownToDoomsday_v1.0_1994.zip;Buck Rogers XXVc: Countdown To Doomsday
Budokan_v1.2_1215.zip;Budokan: The Martial Spirit
BuffaloBillsWildWestShow_v1.3.zip;Buffalo Bill's Rodeo Games
BugBash_v1.1.zip;Bug Bash
BugBomber_v1.0_1579.zip;Bug Bomber
BuggyBoy_v1.2_0465.zip;Buggy Boy
BuilderLand_v1.0a_1923.zip;Builderland: The Story Of Melba
BumpNBurn_v1.0_CD32.zip;Bump 'n' Burn (CD32)
BumpNBurn_v1.1.zip;Bump 'n' Burn
BumpysArcadeFantasy_v1.0_1604.zip;Bumpy's Arcade Fantasy
BunnyBricks_v1.1_0211.zip;Bunny Bricks
BurgerMan_v1.0.zip;Burger Man
BurningRubber_v1.3.zip;Burning Rubber
BurningRubber_v1.3_AGA_2181.zip;Burning Rubber (AGA)
Burntime_v1.1_AGA_2213.zip;Burntime (AGA)
Burntime_v1.1_2266.zip;Burntime
ButcherHill_v1.0.lha;Butcher Hill
Baal_v1.4.zip;Baal
Cabal_v1.1_0638.zip;Cabal
CabaretAsteroids_v1.0.zip;Cabaret Asteroids
Cadaver_v2.2_0900.zip;Cadaver
Cadaver&CadaverThePayoff_v2.2_0900.zip;Cadaver & Cadaver: The Pay Off
CadaverThePayoff_v2.2_0900.zip;Cadaver: The Pay Off
Caesar_v1.0_3085.zip;Caesar
Calephar_v1.0_Files.zip;Calephar (Files)
CaliforniaGames_v1.0_1445.zip;California Games
CaliforniaGames2_v1.1_1567.zip;California Games II
Campaign_v1.1.zip;Campaign
Campaign&DataDisk_v1.1.zip;Campaign: From North Africa To Northern Europe
Campaign2_v1.2.zip;Campaign II
CannonFodder_v1.1_CD32.zip;Cannon Fodder (CD32)
CannonFodder_v1.0_0860.zip;Cannon Fodder
CannonFodder2_v1.12_0104.zip;Cannon Fodder 2
CannonFodder2AlienLevels_v1.0.zip;Cannon Fodder 2 - Alien Levels
CannonFodderNewCampaign_v1.0.zip;Cannon Fodder - New Campaign
CannonFodderPlus_v1.0_0060.zip;Cannon Fodder Plus
CannonSoccer_v1.0_0165.zip;Cannon Soccer
CapitalPunishment_v1.1a_AGA_1758.lha;Capital Punishment (AGA)
CapNCarnage_v1.0.zip;Cap'n Carnage
Capone_v1.1.zip;Capone
CaptainBlood_v1.1_0443.zip;Captain Blood
CaptainDynamo_v1.2_0995.zip;Captain Dynamo
CaptainFizz_v1.0_1777.zip;Captain Fizz Meets The Blaster-Trons
CaptainPlanet&ThePlaneteers_v1.0_1448.zip;Captain Planet And The Planeteers
Captive_v1.0_2164.zip;Captive
Carcharodon_v1.0_2389.zip;Carcharodon: White Sharks
Cardiaxx_v1.0a_Team17_2362.zip;Cardiaxx (Team 17)
CarlLewisChallenge_v1.1_0639.zip;Carl Lewis Challenge, The
Carlos_v1.0_2299.zip;Carlos
Carnage_v1.0.zip;Carnage (Zeppelin Games)
CarrierCommand_v1.3_0813.zip;Carrier Command
Carthage_v1.1_2328.zip;Carthage
Cartoons_v1.1.zip;Cartoons, The
Carver_v1.0.zip;Carver
CarVup_v1.3_1232.zip;Car-Vup
CastleKingdoms_v1.1.zip;Castle Kingdoms
CastleMaster_v1.20.1.zip;Castle Master
CastleMaster2_v1.0_0612.zip;Castle Master II: The Crypt
CastleOfDrBrain_v1.0_1287.zip;Castle Of Dr. Brain
Castles_v1.3_2381.zip;Castles
Castles2_v1.1_CD32.zip;Castles II: Siege And Conquest (CD32)
CastleVania_v1.1.zip;Castlevania
CastleWarrior_v1.0b.zip;Castle Warrior
CatchEm_v1.0.zip;Catch 'Em
CaveMania_v1.2_2220.lha;CaveMania
Cavitas_v1.1_2251.zip;Cavitas
Cedric_v1.1.zip;Cedric And The Lost Sceptre
Cedric_v1.1_CD32.zip;Cedric And The Lost Sceptre (CD32)
CelticLegends_v1.3_1281.zip;Celtic Legends
CentrefoldSquares_v1.0_0467.zip;Centrefold Squares
Centurion_v1.0_1945.zip;Centurion: Defender Of Rome
ChamberOfTheSciMutantPriestess_v1.1b.zip;Chamber Of The Sci-Mutant Priestess
ChambersOfShaolin_v1.1.zip;Chambers Of Shaolin
Champ_v1.0.zip;Champ, The
ChampionDriver_v1.0_1292.zip;Champion Driver
ChampionshipGolf_v1.0.zip;Championship Golf: The Great Courses Of The World Vol.1: Pebble Beach
ChampionshipRun_v1.0_0825.zip;Championship Run
ChampionsOfKrynn_v1.0_0986.zip;Champions Of Krynn
ChaosEngine_v1.2_CD32.zip;Chaos Engine, The (CD32)
ChaosEngine_v1.2_0106.zip;Chaos Engine, The
ChaosEngine_v1.2_AGA_1324.zip;Chaos Engine, The (AGA)
ChaosEngine2_v1.0_AGA_0173.zip;Chaos Engine 2, The (AGA)
ChaosEngine2_v1.0_0172.zip;Chaos Engine 2, The
ChaosInAndromeda_v1.0.zip;Chaos In Andromeda: Eyes Of The Eagle
ChaosInAndromeda_v1.0_CDTV.lha;Chaos In Andromeda: Eyes Of The Eagle (CD)
ChaosStrikesBack_v1.1.zip;Chaos Strikes Back
CharlieJCool_v1.2.zip;Charlie J. Cool
CharlieJCool_v1.2_AGA.zip;Charlie J. Cool (AGA)
ChaseHQ_v1.0_0212.zip;Chase H.Q.
ChaseHQ2_v1.2_1246.zip;Chase H.Q. II: Special Criminal Investigation
Chessmaster2000_v1.0_2055.zip;Chessmaster 2000, The
ChessPlayer2150_v1.1_2493.zip;Chess Player 2150
ChessSimulator_v1.0_2054.zip;Chess Simulator
Chicago90_v1.0_2302.zip;Chicago 90
ChipsChallenge_v1.1_0444.zip;Chip's Challenge
Chrome_v1.1.zip;Chrome
ChroniclesOfOmega_v1.0.zip;Chronicles Of Omega, The
ChronoQuest_v1.4_1016.zip;Chrono Quest
ChronoQuest2_v1.1_0449.zip;Chrono Quest II
ChubbyGristle_v1.1.zip;Chubby Gristle
ChuckieEgg_v1.1.zip;Chuckie Egg
ChuckieEgg2_v1.1.zip;Chuckie Egg II
ChuckRock_v1.0_0767.zip;Chuck Rock
ChuckRock2_v2.4_0282.zip;Chuck Rock II: Son Of Chuck
ChuckRock2_v2.4_CD32.zip;Chuck Rock II: Son Of Chuck (CD32)
ChuckYeagersAdvancedFlightTrainer2_v1.0_0670.zip;Chuck Yeager's Advanced Flight Trainer 2.0
CircusAttractions_v1.0_1Disk_1689.zip;Circus Attractions (1 Disk)
CircusGames_v1.0.zip;Circus Games
CiscoHeat_v1.1_1393.zip;Cisco Heat
Citadel_v1.2.lha;Citadel
CityDefence_v1.1.zip;City Defence
Civilization_v1.1_2090.lha;Civilization
Civilization_v1.1_AGA_1633.lha;Civilization (AGA)
CJInTheUSA_v1.1_1946.zip;CJ In The USA
CJsElephantAntics_v1.1.zip;CJ's Elephant Antics
Classic&BabyArcadia_v1.1_1017.zip;Classic Arcadia & Baby Arcadia
ClassicBoardGames_v1.0.zip;Classic Board Games
ClassicPucman_v1.0.zip;Classic Pucman
Cliffhanger_v1.1_1598.zip;Cliffhanger
ClikClak_v1.0.zip;Clik Clak
Clockwiser_v1.1_AGA_1900.zip;Clockwiser (AGA)
Clockwiser_v1.1.zip;Clockwiser
Clockwiser_v1.1_CD32.zip;Clockwiser (CD32)
CloudKingdoms_v1.1_0642.zip;Cloud Kingdoms
ClownOMania_v1.2_2807.zip;Clown-O-Mania
Clue_v1.1_2134.lha;Clue!, The
Clue_v1.1_AGA.lha;Clue!, The (AGA)
CluedoMasterDetective_v1.1_1122.zip;Cluedo: Master Detective
ClueMasterDetective_v1.1_0672.zip;Clue: Master Detective
Coala_v1.0_0242.zip;COALA
Coala_v1.0_AGA_0242.zip;COALA (AGA)
CodeNameIceman_v1.3_0468.zip;Code Name: Iceman
CogansRun_v1.0_0469.zip;Cogans Run
ColonelsBequest_v2.1_0796.zip;Colonel's Bequest, The
Colonization_v1.0_0452.zip;Colonization
Colonization_v1.0_AGA_0452.zip;Colonization (AGA)
Colorado_v1.3_1743.zip;Colorado
ColorBuster_v1.0.zip;Color Buster
ColossusChessX_v1.1_1510.zip;Colossus Chess X
CombatAirPatrol_v1.2_0674.zip;Combat Air Patrol
ComboRacer_v1.0.zip;Combo Racer
Commando_v1.2_0002.lha;Commando
ComputerScrabble_v1.1.zip;Computer Scrabble
ComputerThirdReich_v1.0.zip;Computer Third Reich
ConanTheCimmerian_v1.0.zip;Conan The Cimmerian
ConflictEurope_v1.1_0307.zip;Conflict Europe
Conqueror_v1.1_1275.zip;Conqueror
ConquestsOfCamelot_v1.0_1112.zip;Conquests Of Camelot: The Search For The Grail
ConquestsOfTheLongbow_v1.0b.zip;Conquests Of The Longbow
ContinentalCircus_v1.2_1720.zip;Continental Circus
CoolSpot_v1.0_1345.zip;Cool Spot
CoolWorld_v1.0_1826.zip;Cool World
Corporation_v1.2_1Disk_0107.zip;Corporation (1 Disk)
Corporation&Missions_v1.2_2Disk_0107&0266.zip;Corporation & Mission Disk (2 Disk)
Corruption_v1.0_0271.zip;Corruption
Corsarios_v1.0.zip;Corsarios
Corx_v1.0_0930.zip;Corx
CosmicBouncer_v1.1_0309.zip;Cosmic Bouncer
CosmicPirate_v1.1.zip;Cosmic Pirate
CosmicRelief_v1.1_1893.zip;Cosmic Relief: Prof. Renegade To The Rescue
CosmicSpacehead_v1.3.zip;Cosmic Spacehead
CountDuckula_v1.2.1.zip;Count Duckula
CoverGirlStripPoker_v1.1.zip;Cover Girl Strip Poker
CovertAction_v1.0_1834.zip;Covert Action
Crack_v1.0_0057.zip;Crack
CrackDown_v1.1_1711.zip;Crack Down
CrashGarrett_v1.0.lha;Crash Garrett
CrazyCars_v1.2.zip;CrazyCars
CrazyCars2_v1.1_0311.zip;Crazy Cars II
CrazyCars3_v2.1.zip;Crazy Cars III
CrazySeasons_v1.0.zip;Crazy Seasons
CrazyShot_v1.1_2404.zip;Crazy Shot
CrazySue_v1.1.zip;Crazy Sue
CrazySueGoesOn_v1.1.zip;Crazy Sue Goes On
Creature_v1.1_0846.zip;Creature
Creatures_v1.1.zip;Creatures
CrimeWave_v1.1.zip;Crime Wave
CrossbowTheLegendOfWilliamTell_v1.1.zip;Crossbow: The Legend of William Tell
CrossCheck_v1.0.zip;CrossCheck
CruiseForACorpse_v2.1_0108.zip;Cruise For A Corpse
CruncherFactory_v1.1.zip;Cruncher Factory
CrystalDragon_v1.3_1830.lha;Crystal Dragon
CrystalHammer_v1.1_V1.zip;Crystal Hammer (v1)
